Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806741.0,4960706.0,5121984.0,5290801.0,5468248.0,5655486.0,5838598.0,6033482.0,6240408.0,6459622.0,6691044.0,6917424.0,7158186.0,7414108.0,7685303.0,7971743.0,8257189.0,8560730.0,8879695.0,9211974.0,9556361.0,9898462.0,10252532.0,10621492.0,11004723.0,11402381.0,11804734.0,12223456.0,12659938.0,13116712.0,13415460.0,13971332.0
Burundi,BDI,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2558769.0,2564818.0,2573412.0,2583083.0,2592338.0,2601482.0,2607017.0,2611642.0,2620582.0,2651693.0,2697055.0,2782275.0,2882004.0,2993327.0,3111691.0,3233143.0,3352425.0,3476102.0,3601032.0,3723694.0,3842129.0,3943624.0,4042457.0,4140069.0,4239621.0,4370030.0,4508039.0,4654229.0,4808244.0,4969385.0,5089758.0,5266036.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947748.0,2014551.0,2087438.0,2164152.0,2243407.0,2323886.0,2394635.0,2467343.0,2542712.0,2621882.0,2705727.0,2790770.0,2881278.0,2978736.0,3079953.0,3184049.0,3282301.0,3383679.0,3488763.0,3598159.0,3712416.0,3825604.0,3942161.0,4063769.0,4189856.0,4320200.0,4451938.0,4588876.0,4730774.0,4877483.0,4985420.0,5147879.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899748.0,3999978.0,4077387.0,4160309.0,4248494.0,4341483.0,4423530.0,4512176.0,4605787.0,4702685.0,4802017.0,4890006.0,4982834.0,5079908.0,5180735.0,5284777.0,5378297.0,5481494.0,5588842.0,5699835.0,5813865.0,5918602.0,6028928.0,6142819.0,6258435.0,6464546.0,6674993.0,6892699.0,7118594.0,7354219.0,7534642.0,7797030.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418801.0,434760.0,449977.0,464895.0,480197.0,496274.0,512062.0,528778.0,545996.0,562952.0,579053.0,597765.0,615328.0,632478.0,650297.0,669405.0,689223.0,721438.0,754673.0,787142.0,764106.0,777636.0,788714.0,798872.0,810392.0,824731.0,844352.0,867433.0,892954.0,919329.0,950933.0,971259.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130533.0,1158951.0,1191898.0,1228091.0,1265878.0,1304011.0,1338026.0,1372044.0,1406301.0,1441240.0,1477085.0,1507068.0,1537870.0,1569302.0,1601151.0,1633259.0,1660600.0,1688541.0,1715553.0,1739671.0,1759855.0,1763094.0,1762364.0,1761090.0,1763378.0,1772055.0,1796334.0,1827814.0,1865485.0,1907420.0,1933193.0,1996685.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4289363.0,4452334.0,4625664.0,4807146.0,4993584.0,5182341.0,5353165.0,5526529.0,5699997.0,5832501.0,5959271.0,6039616.0,6114727.0,6188135.0,6264536.0,6348017.0,6438218.0,6538199.0,6647473.0,6764522.0,6887868.0,7020913.0,7159386.0,7303594.0,7454225.0,7610929.0,7763092.0,7922954.0,8151479.0,8385280.0,8549394.0,8805622.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5252929.0,5404613.0,5563331.0,5729432.0,5903404.0,6086090.0,6264294.0,6451990.0,6649491.0,6856146.0,7071237.0,7280342.0,7497332.0,7722587.0,7956562.0,8199428.0,8434331.0,8681907.0,8724528.0,8742253.0,8731386.0,8980552.0,9238356.0,9505237.0,9783304.0,10073542.0,10369372.0,10678160.0,10999787.0,11333454.0,11575786.0,11954346.0
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13740480.0,14225481.0,14765980.0,15333028.0,15893188.0,16428194.0,16862627.0,17270671.0,17675817.0,18107727.0,18585329.0,19081718.0,19631914.0,20229901.0,20867142.0,21537892.0,21917041.0,22324099.0,22750370.0,23187587.0,23631512.0,24034512.0,24452870.0,25264789.0,26117301.0,27012688.0,27913180.0,28865228.0,29864531.0,30907455.0,31465473.0,32706320.0
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895459.0,923876.0,953723.0,984888.0,1017094.0,1050184.0,1084112.0,1119164.0,1155196.0,1192141.0,1229930.0,1266724.0,1304575.0,1344079.0,1386007.0,1430845.0,1480403.0,1532907.0,1586919.0,1640604.0,1692836.0,1735808.0,1777719.0,1819718.0,1863400.0,1910047.0,1961279.0,2015938.0,2073695.0,2134000.0,2129699.0,2215521.0
