Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,2763710.0,2807695.0,2844081.0,2873436.0,2896907.0,2916149.0,2930185.0,2940893.0,2956184.0,2986407.0,3038800.0,3116836.0,3218099.0,3336231.0,3461420.0,3586574.0,3709688.0,3832864.0,3957984.0,4088285.0,4226099.0,4371520.0,4523437.0,4681598.0,4845528.0,5014824.0,5189649.0,5370029.0,5555245.0,5744348.0,5936747.0,6132443.0,6331966.0,6535902.0,6745130.0,6960467.0,7182535.0,7411954.0,7649743.0,7897054.0,8155019.0,8423958.0,8704663.0,8999242.0,9310252.0,9639470.0,9987680.0,10354340.0,10738130.0,11137010.0,11549277.0,11974824.0,12413552.0,12863801.0,13323488.0,13791244.0,14266355.0,14749319.0,15241459.0,15744779.0,16260870.0,16790140.0
Burundi,BDI,Sub-Saharan Africa,Low income,1350782.0,1378165.0,1405732.0,1434407.0,1465447.0,1499555.0,1537646.0,1578997.0,1620716.0,1658837.0,1690760.0,1715245.0,1733799.0,1750074.0,1769219.0,1794987.0,1828659.0,1869247.0,1915508.0,1965256.0,2016889.0,2069821.0,2124546.0,2181826.0,2242826.0,2308147.0,2378099.0,2451574.0,2525968.0,2597831.0,2664653.0,2726278.0,2783421.0,2835675.0,2882782.0,2925148.0,2962031.0,2995037.0,3029760.0,3073615.0,3131928.0,3206898.0,3297229.0,3400372.0,3512136.0,3629307.0,3751517.0,3879444.0,4012093.0,4148462.0,4287851.0,4429454.0,4573301.0,4720469.0,4872574.0,5030735.0,5195257.0,5365496.0,5540530.0,5718988.0,5899864.0,6082857.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,1156651.0,1174504.0,1193682.0,1214262.0,1236325.0,1259942.0,1285185.0,1312016.0,1340313.0,1369843.0,1400496.0,1432233.0,1465178.0,1499545.0,1535628.0,1573665.0,1613795.0,1656030.0,1700361.0,1746752.0,1795184.0,1845823.0,1898839.0,1954266.0,2012142.0,2072577.0,2135320.0,2200613.0,2269535.0,2343546.0,2423540.0,2510180.0,2602820.0,2699501.0,2797455.0,2894758.0,2990571.0,3085569.0,3181238.0,3279810.0,3382858.0,3490950.0,3603447.0,3719314.0,3836993.0,3955402.0,4074233.0,4194026.0,4315622.0,4440265.0,4568834.0,4701607.0,4838355.0,4978896.0,5122907.0,5270132.0,5420569.0,5574297.0,5731239.0,5891256.0,6054248.0,6220142.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2457983.0,2484676.0,2511378.0,2538871.0,2568307.0,2600482.0,2635735.0,2673844.0,2714312.0,2756404.0,2799620.0,2843984.0,2889858.0,2937425.0,2986976.0,3038851.0,3093039.0,3149803.0,3210037.0,3274868.0,3345105.0,3421194.0,3502957.0,3589836.0,3680938.0,3775648.0,3873857.0,3975823.0,4081652.0,4191544.0,4305690.0,4424200.0,4547103.0,4674453.0,4806272.0,4942641.0,5083681.0,5229685.0,5381021.0,5538200.0,5701662.0,5871499.0,6047905.0,6231414.0,6422637.0,6622003.0,6829728.0,7045686.0,7269411.0,7500236.0,7737619.0,7981454.0,8231729.0,8488213.0,8750631.0,9018772.0,9292515.0,9571848.0,9856874.0,10147774.0,10444713.0,10747651.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,243920.0,248860.0,254418.0,260360.0,266310.0,272037.0,277432.0,282699.0,288219.0,294557.0,302104.0,311025.0,321208.0,332392.0,344229.0,356429.0,368959.0,381904.0,395356.0,409431.0,424234.0,439698.0,455753.0,472612.0,490511.0,509559.0,529887.0,551268.0,573128.0,594658.0,615288.0,634761.0,653213.0,670974.0,688548.0,706299.0,724374.0,742637.0,760800.0,778481.0,795433.0,811386.0,826518.0,841552.0,857471.0,874870.0,894361.0,915523.0,936812.0,956058.0,971864.0,983429.0,991624.0,998695.0,1007821.0,1021216.0,1039714.0,1062469.0,1088021.0,1114116.0,1139099.0,1162570.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,739434.0,751368.0,764031.0,777486.0,791825.0,807074.0,823432.0,840762.0,858387.0,875395.0,891206.0,905550.0,918840.0,932023.0,946419.0,963010.0,981907.0,1002898.0,1026313.0,1052430.0,1081323.0,1113509.0,1148646.0,1184858.0,1219618.0,1251260.0,1278801.0,1303092.0,1326411.0,1352032.0,1382256.0,1417855.0,1457934.0,1501071.0,1545133.0,1588510.0,1630749.0,1672239.0,1713183.0,1754016.0,1795023.0,1835903.0,1876287.0,1916297.0,1956164.0,1995878.0,2036099.0,2076368.0,2114319.0,2146735.0,2171641.0,2187973.0,2197286.0,2203461.0,2211896.0,2226565.0,2248836.0,2277876.0,2312820.0,2351973.0,2394042.0,2438968.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1799131.0,1867911.0,1942935.0,2022566.0,2104450.0,2187143.0,2269849.0,2353820.0,2442055.0,2538742.0,2646822.0,2767396.0,2899520.0,3041565.0,3190973.0,3345808.0,3505444.0,3670252.0,3840509.0,4016774.0,4199297.0,4388284.0,4583020.0,4781837.0,4982473.0,5183454.0,5383523.0,5583258.0,5785123.0,5992680.0,6208226.0,6432193.0,6662905.0,6898008.0,7134172.0,7368630.0,7601485.0,7832500.0,8058254.0,8274523.0,8478764.0,8669621.0,8849176.0,9022663.0,9197419.0,9379140.0,9569663.0,9768761.0,9977533.0,10196632.0,10426514.0,10668125.0,10921921.0,11187178.0,11462641.0,11747319.0,12041040.0,12343867.0,12655166.0,12974206.0,13300380.0,13633247.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2546849.0,2601054.0,2658084.0,2717964.0,2780673.0,2846200.0,2914709.0,2986367.0,3061246.0,3139415.0,3220976.0,3306050.0,3394823.0,3487631.0,3584834.0,3686771.0,3793565.0,3905332.0,4022335.0,4144865.0,4273118.0,4407047.0,4546592.0,4691862.0,4842965.0,4999861.0,5162573.0,5330697.0,5503213.0,5678777.0,5856357.0,6035824.0,6217256.0,6400135.0,6583915.0,6768384.0,6953344.0,7139377.0,7328153.0,7521864.0,7722267.0,7929955.0,8144931.0,8367620.0,8598312.0,8837179.0,9084551.0,9340473.0,9604452.0,9875760.0,10153792.0,10438338.0,10729397.0,11026877.0,11330730.0,11640880.0,11957213.0,12279497.0,12607251.0,12939928.0,13277075.0,13618435.0
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,7283489.0,7481985.0,7687464.0,7901430.0,8125957.0,8362334.0,8611594.0,8872903.0,9143520.0,9419615.0,9698575.0,9978729.0,10261287.0,10549874.0,10849712.0,11164285.0,11496337.0,11844109.0,12201176.0,12558451.0,12910158.0,13255365.0,13598684.0,13946969.0,14309785.0,14695192.0,15100842.0,15527306.0,15988587.0,16502469.0,17079144.0,17729899.0,18445038.0,19188198.0,19909195.0,20573715.0,21167682.0,21706640.0,22222367.0,22761644.0,23359141.0,24024789.0,24750634.0,25531974.0,26358262.0,27221813.0,28123310.0,29066903.0,30051807.0,31077037.0,32141617.0,33244602.0,34385069.0,35561914.0,36773965.0,38019960.0,39299343.0,40610874.0,41951875.0,43319103.0,44710172.0,46123737.0
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,500587.0,512660.0,525364.0,538710.0,552708.0,567360.0,582684.0,598685.0,615411.0,632918.0,651253.0,670410.0,690396.0,711150.0,732549.0,754540.0,777085.0,800201.0,823938.0,848386.0,873593.0,899609.0,926396.0,953837.0,981728.0,1009975.0,1038562.0,1067579.0,1097171.0,1127523.0,1158799.0,1191073.0,1224376.0,1258885.0,1294766.0,1332148.0,1371223.0,1412055.0,1454488.0,1498289.0,1543329.0,1589295.0,1636369.0,1685604.0,1738399.0,1795605.0,1857841.0,1924393.0,1993142.0,2061167.0,2126410.0,2188038.0,2246780.0,2304083.0,2362141.0,2422571.0,2485795.0,2551316.0,2618741.0,2687358.0,2756678.0,2826637.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,95076.0,96592.0,98127.0,99723.0,101432.0,103275.0,105320.0,107550.0,109908.0,112302.0,114680.0,116989.0,119292.0,121795.0,124754.0,128360.0,132709.0,137707.0,143096.0,148542.0,153770.0,158706.0,163428.0,168061.0,172816.0,177830.0,183114.0,188642.0,194387.0,200314.0,206386.0,212622.0,219008.0,225521.0,232133.0,238801.0,245529.0,252307.0,259139.0,265986.0,272853.0,279726.0,286626.0,293594.0,300706.0,308012.0,315525.0,323238.0,331157.0,339284.0,347627.0,356188.0,364951.0,373895.0,382953.0,392089.0,401274.0,410522.0,419834.0,429210.0,438653.0,448164.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,94712.0,96391.0,98820.0,101881.0,105410.0,109209.0,113346.0,117757.0,122015.0,125547.0,127969.0,129104.0,129108.0,128410.0,127600.0,127141.0,127129.0,127501.0,128300.0,129570.0,131297.0,133594.0,136456.0,139655.0,142872.0,145897.0,148599.0,151087.0,153608.0,156555.0,160191.0,164615.0,169676.0,175097.0,180469.0,185501.0,190096.0,194338.0,198314.0,202166.0,206009.0,209845.0,213640.0,217434.0,221301.0,225288.0,229420.0,233675.0,237959.0,242121.0,246066.0,249767.0,253247.0,256559.0,259819.0,263070.0,266349.0,269626.0,272866.0,276036.0,279117.0,282095.0
