Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,122089.0,,,,,77075.0,,,,,48657.0,,,,,30717.0,,,,,89891.0,,,,,108854.0,,,,,33517.0,,,,,39813.0,,,,,46108.0,,,,,61329.0,,,,,76549.0,,,,,106845.0,,,,,,
Burundi,BDI,Sub-Saharan Africa,Low income,126323.0,,,,,184633.0,,,,,143820.0,,,,,139741.0,,,,,223791.0,,,,,343406.0,,,,,333110.0,,,,,254853.0,,,,,125628.0,,,,,172874.0,,,,,235259.0,,,,,286810.0,,,,,,
Benin,BEN,Sub-Saharan Africa,Lower middle income,34019.0,,,,,38777.0,,,,,44750.0,,,,,50383.0,,,,,57430.0,,,,,67713.0,,,,,76212.0,,,,,104971.0,,,,,133730.0,,,,,171499.0,,,,,209267.0,,,,,245399.0,,,,,,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,62943.0,,,,,74981.0,,,,,89322.0,,,,,106405.0,,,,,170487.0,,,,,273256.0,,,,,349657.0,,,,,434848.0,,,,,520039.0,,,,,596972.0,,,,,673904.0,,,,,704676.0,,,,,,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,7199.0,,,,,8655.0,,,,,10404.0,,,,,12507.0,,,,,15036.0,,,,,20034.0,,,,,27510.0,,,,,40168.0,,,,,57064.0,,,,,88829.0,,,,,120912.0,,,,,160644.0,,,,,,
Central African Republic,CAF,Sub-Saharan Africa,Low income,43128.0,,,,,45905.0,,,,,48861.0,,,,,52007.0,,,,,55355.0,,,,,58919.0,,,,,67234.0,,,,,99712.0,,,,,123529.0,,,,,94449.0,,,,,93466.0,,,,,81598.0,,,,,,
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,767019.0,,,,,956111.0,,,,,1191820.0,,,,,1391404.0,,,,,1520693.0,,,,,1661995.0,,,,,1816426.0,,,,,2076394.0,,,,,1994135.0,,,,,2010824.0,,,,,2095185.0,,,,,2175399.0,,,,,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,175430.0,,,,,187956.0,,,,,201375.0,,,,,215753.0,,,,,231157.0,,,,,247661.0,,,,,265344.0,,,,,246864.0,,,,,228383.0,,,,,258737.0,,,,,289091.0,,,,,381984.0,,,,,,
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,1006930.0,,,,,1322475.0,,,,,1424581.0,,,,,1218362.0,,,,,1204366.0,,,,,725303.0,,,,,754194.0,,,,,1816963.0,,,,,744387.0,,,,,622869.0,,,,,588950.0,,,,,545694.0,,,,,,
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,26315.0,,,,,34324.0,,,,,44771.0,,,,,58398.0,,,,,76172.0,,,,,99356.0,,,,,129597.0,,,,,191635.0,,,,,305002.0,,,,,315238.0,,,,,419649.0,,,,,392996.0,,,,,,
