Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,5930503401.0,5550483036.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063346.0,8083872012.0,8769250550.0,10201099039.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,8936063723.0,15285594828.0,17812704825.0,23552047248.0,36970918699.0,52381006892.0,65266452081.0,88538610805.0,70307166934.0,81699556137.0,109437000000.0,124998000000.0,133402000000.0,137244000000.0,87219290029.0,49840494026.0,68972763787.0,77792940077.0,69309104807.0,53619071176.0,72546985709.0
Burundi,BDI,Sub-Saharan Africa,Low income,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994963.0,165444571.4,178297142.9,183200000.0,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222.0,1082926304.0,987143931.2,1149979286.0,1201725497.0,1131466494.0,1082403219.0,1113924130.0,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046.0,1273375020.0,1356199365.0,1611835902.0,1781455092.0,2032135247.0,2235820868.0,2333341375.0,2451606684.0,2705783272.0,3104003611.0,2639321196.0,2712324087.0,2660123624.0,2581268126.0,2780510625.0,2902029386.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,226195579.4,235668222.4,236434906.8,253927646.5,269818988.3,289908720.6,302925280.8,306222000.4,326323097.4,330748211.5,333627758.2,335072975.2,410331901.0,504376035.7,554654787.0,676870140.3,698408244.4,750049739.2,928843304.8,1186231265.0,1405251547.0,1291119965.0,1267778489.0,1095348303.0,1051133927.0,1045712703.0,1336102041.0,1562412030.0,1620246187.0,1502294411.0,1959965244.0,1986437860.0,1695315306.0,2274557914.0,1598075932.0,2169627251.0,2361116588.0,2268301538.0,2455092582.0,3677394292.0,3519991326.0,3666222600.0,4194342849.0,5349258334.0,6190270756.0,6567654494.0,7034111651.0,8169048690.0,9787735426.0,9738626993.0,9535344283.0,10693321954.0,11141358945.0,12517845732.0,13284528654.0,11388160958.0,11821066153.0,12701654743.0,14262407011.0,14391686633.0,15651545332.0,17785640079.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,330442817.2,350247237.1,379567023.3,394040588.3,410321618.2,422916848.4,433889831.6,450753993.2,460442678.2,478298597.6,458404330.1,482411103.8,578595584.0,674773518.4,751133330.6,939972703.5,976547163.5,1131224818.0,1475583383.0,1748480982.0,1928719477.0,1775842026.0,1754449845.0,1600278756.0,1459880019.0,1552493068.0,2036303381.0,2369834650.0,2616040646.0,2615587726.0,3101300642.0,3135045684.0,3356692518.0,3199536228.0,1895290623.0,2379518099.0,2586550747.0,2447668985.0,2804902248.0,3389566983.0,2968369991.0,3190371050.0,3622350204.0,4740768355.0,5451688868.0,6146352742.0,6547420134.0,7625723124.0,9451436359.0,9450697336.0,10109618964.0,12080296644.0,12561016091.0,13444301139.0,13943016924.0,11832159276.0,12833363370.0,14106956830.0,15890065020.0,16178162030.0,17933606353.0,19737615114.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,30412308.99,32902336.64,35643207.63,38091150.57,41613969.05,45790869.75,51464435.15,58646443.51,66248256.62,77356914.08,96245114.46,127456485.1,164466873.7,244129088.0,306033848.4,355172413.8,372010119.6,451603325.4,590376720.6,819877300.6,1060923829.0,1073861599.0,1014907255.0,1172258182.0,1240796365.0,1114764007.0,1392634772.0,1965274882.0,2644536804.0,3083800685.0,3790567052.0,3942792837.0,4146513722.0,4160086253.0,4259330999.0,4730611067.0,4847752843.0,5020214747.0,4790458837.0,5484257417.0,5788329609.0,5489608300.0,5438857107.0,7511582173.0,8957467707.0,9918907108.0,10137883299.0,10939053365.0,10945070442.0,10267133178.0,12786654498.0,15351972361.0,14380004175.0,14901750991.0,15654660710.0,13578754072.0,15082578065.0,16088437675.0,16914245098.0,16695925027.0,14930072799.0,17613846473.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,112155598.9,123134584.5,124482748.9,129379097.9,142025069.5,150574816.3,157930041.9,163820538.9,191767437.0,188039191.3,189106554.5,201450768.4,230317908.0,271183061.4,281398668.2,378660016.3,451152450.0,507298120.7,610578523.8,700764892.7,797048028.8,694803502.7,748312283.7,658679394.9,637820620.7,864849765.1,1122265026.0,1200991826.0,1264899368.0,1233930277.0,1440711396.0,1377375031.0,1411917558.0,1278781167.0,851174350.6,1115389732.0,1007791186.0,937741468.0,967338348.7,999477510.7,916777282.7,932648604.4,996068145.6,1142315522.0,1272360517.0,1337894380.0,1461859763.0,1699811293.0,1993407887.0,2067381664.0,2142591376.0,2437982840.0,2510126699.0,1691544192.0,1894813505.0,1695825708.0,1825018191.0,2072349974.0,2220978978.0,2221301401.0,2326720921.0,2516498299.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,546203561.6,618245639.2,645284344.7,761047045.8,921063266.4,919771356.4,1024103034.0,1082922892.0,1281281246.0,1361360157.0,1455482990.0,1584128262.0,1849400600.0,2508421235.0,3070151901.0,3893839190.0,4662053708.0,6265067858.0,7900524898.0,9142935858.0,10175615442.0,8432588484.0,7567109767.0,6838185419.0,6841638715.0,6977650069.0,9158302205.0,10087653189.0,10255170460.0,9757410614.0,10795850107.0,10492628915.0,11152971316.0,11045759469.0,8313557450.0,11000146839.0,18071153890.0,18047557172.0,19619653924.0,18870992456.0,16577533355.0,16810536884.0,18054384023.0,21251755294.0,23510577108.0,24036917017.0,25281414473.0,28760092034.0,34078243426.0,33886814907.0,34936305297.0,36693712825.0,36302305578.0,42760237561.0,48843008580.0,45814637971.0,47964234560.0,51588158718.0,58011466451.0,58539424930.0,61348579465.0,69764827467.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,614206071.0,652777613.6,694247725.5,718320701.4,776650126.2,814083378.5,851112662.7,936175404.6,1046191192.0,1100551379.0,1151217147.0,1236941201.0,1498252050.0,1901393216.0,2157415246.0,2857037371.0,2898089929.0,3394663844.0,4662851757.0,5919004207.0,6674567625.0,6610937473.0,6611255018.0,6870200659.0,7311937457.0,8544809794.0,11857056336.0,13049658331.0,12236058143.0,11012566161.0,12314482085.0,11840192674.0,12071775381.0,16181813512.0,8902446188.0,10864773037.0,11093539497.0,10789457915.0,11298144512.0,11565827386.0,10566578953.0,10953485244.0,12417251816.0,15970315751.0,18826215278.0,19509850837.0,20910513975.0,23928251334.0,27715144580.0,27932971683.0,27507499709.0,30630912185.0,30155064574.0,33728622819.0,36386546918.0,32210232912.0,33814337900.0,36098550142.0,39973839065.0,39670977333.0,40804449726.0,45238613480.0
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,3359404118.0,3086746857.0,3779841429.0,6213185743.0,2881545273.0,4043901818.0,4532660182.0,3384063372.0,3909780539.0,5032434970.0,4877684910.0,5594770359.0,6173712814.0,7870239461.0,9596960180.0,10237343174.0,9648583225.0,12344424764.0,15372608002.0,15068422236.0,14394927495.0,12537821038.0,13651667371.0,11006712650.0,7857729193.0,7195042616.0,8095367168.0,7661625473.0,8861299977.0,9021862775.0,9349764580.0,9633911368.0,8227200892.0,10706246371.0,5820382232.0,5643439373.0,5771454940.0,6090840548.0,6217806273.0,4711259427.0,19088046306.0,7438189100.0,8728038525.0,8937567060.0,10297483481.0,11964484668.0,14451902468.0,16737071816.0,19788515874.0,18648373312.0,21565720044.0,25839749199.0,29306235826.0,32679745298.0,35909040266.0,37917704900.0,37134799975.0,38019265626.0,47568210068.0,51775830726.0,48716960860.0,53958573693.0
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,131731862.6,151675739.2,166521239.9,172233430.9,185693724.8,198318063.9,220613582.4,237397428.3,251247458.0,265040036.1,274960699.9,322128019.3,410669262.9,541973362.5,585364635.4,767102679.0,754549600.5,765224030.6,878771771.3,1198749666.0,1705796850.0,1993512326.0,2160640567.0,2097274290.0,2193581366.0,2160872541.0,1849268215.0,2297753649.0,2212536313.0,2389593022.0,2798746051.0,2724853508.0,2933222706.0,2684323618.0,1769365439.0,2116003868.0,2540697538.0,2322719101.0,1949481381.0,2354772959.0,3227927697.0,2796704603.0,3034250926.0,3503723087.0,4656974938.0,6650001685.0,8072305031.0,8782703428.0,11649857662.0,9723299908.0,13148396206.0,15655383586.0,17692911281.0,17958720704.0,17912907682.0,11890259177.0,10219341017.0,11094823677.0,13670038020.0,12750338736.0,10483151094.0,12523961677.0
