Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,38.763,39.069,39.391,39.727,40.075,40.433,40.801,41.175,41.554,41.934,42.314,42.693,43.073,43.449,43.82,44.181,44.531,44.866,45.183,45.48,45.754,46.005,46.231,46.434,46.612,46.762,46.878,46.962,47.017,47.052,47.07,47.077,47.082,47.101,47.149,47.242,47.391,47.605,47.893,48.265,48.736,49.317,50.005,50.789,51.661,52.614,53.642,54.726,55.839,56.953,58.033,59.052,59.992,60.841,61.591,62.237,62.783,63.252,63.666,64.039,64.383,
Burundi,BDI,Sub-Saharan Africa,Low income,42.851,43.164,43.482,43.803,44.121,44.423,44.694,44.927,45.124,45.291,45.449,45.624,45.838,46.1,46.411,46.757,47.116,47.46,47.769,48.037,48.272,48.494,48.72,48.956,49.193,49.4,49.537,49.577,49.513,49.354,49.121,48.843,48.569,48.349,48.22,48.225,48.395,48.729,49.213,49.838,50.582,51.414,52.296,53.191,54.073,54.932,55.767,56.591,57.406,58.203,58.966,59.677,60.328,60.913,61.433,61.893,62.301,62.675,63.031,63.377,63.721,
Benin,BEN,Sub-Saharan Africa,Lower middle income,37.773,38.27,38.773,39.288,39.82,40.375,40.959,41.571,42.21,42.873,43.558,44.265,44.985,45.71,46.428,47.122,47.773,48.376,48.932,49.445,49.934,50.422,50.932,51.476,52.057,52.677,53.331,53.996,54.645,55.256,55.795,56.227,56.54,56.739,56.833,56.848,56.818,56.785,56.789,56.854,57.001,57.241,57.559,57.933,58.351,58.793,59.235,59.66,60.052,60.404,60.717,60.997,61.262,61.527,61.799,62.082,62.379,62.687,63.003,63.324,63.646,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,35.553,36.025,36.503,36.986,37.474,37.961,38.441,38.91,39.37,39.824,40.278,40.735,41.206,41.705,42.242,42.85,43.561,44.38,45.288,46.257,47.234,48.154,48.962,49.619,50.106,50.418,50.571,50.616,50.601,50.559,50.516,50.494,50.498,50.534,50.613,50.734,50.887,51.06,51.249,51.461,51.712,52.023,52.409,52.875,53.421,54.04,54.721,55.442,56.178,56.909,57.616,58.284,58.91,59.492,60.03,60.525,60.988,61.43,61.863,62.294,62.724,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,52.076,52.61,53.131,53.641,54.141,54.634,55.117,55.592,56.063,56.533,57.011,57.507,58.025,58.564,59.12,59.688,60.26,60.823,61.366,61.88,62.375,62.868,63.36,63.835,64.259,64.579,64.729,64.669,64.379,63.861,63.131,62.219,61.194,60.119,59.041,57.977,56.922,55.878,54.875,53.972,53.254,52.806,52.679,52.901,53.481,54.422,55.707,57.255,58.97,60.775,62.59,64.35,66.015,67.544,68.89,70.013,70.893,71.559,72.049,72.386,72.604,
Central African Republic,CAF,Sub-Saharan Africa,Low income,37.746,38.235,38.734,39.251,39.792,40.37,40.998,41.677,42.406,43.181,43.998,44.854,45.733,46.614,47.476,48.296,49.053,49.735,50.331,50.832,51.232,51.532,51.746,51.884,51.952,51.955,51.899,51.785,51.614,51.387,51.094,50.72,50.262,49.728,49.137,48.506,47.854,47.211,46.612,46.092,45.689,45.438,45.345,45.407,45.622,45.972,46.432,46.966,47.545,48.152,48.792,49.484,50.242,51.065,51.928,52.793,53.614,54.354,54.991,55.514,55.932,
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,36.568,37.533,38.473,39.378,40.247,41.096,41.948,42.828,43.745,44.695,45.666,46.636,47.575,48.461,49.282,50.033,50.717,51.349,51.937,52.485,52.995,53.471,53.909,54.304,54.65,54.94,55.162,55.312,55.382,55.372,55.271,55.071,54.78,54.414,53.994,53.536,53.059,52.586,52.145,51.765,51.476,51.305,51.255,51.325,51.514,51.818,52.226,52.713,53.251,53.822,54.41,55.007,55.609,56.208,56.791,57.344,57.854,58.32,58.741,59.119,59.455,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,43.011,43.477,43.939,44.395,44.847,45.301,45.766,46.251,46.759,47.289,47.84,48.406,48.978,49.546,50.102,50.64,51.154,51.645,52.112,52.552,52.969,53.372,53.763,54.136,54.481,54.774,54.992,55.117,55.141,55.065,54.891,54.624,54.293,53.928,53.558,53.214,52.922,52.697,52.551,52.495,52.538,52.676,52.894,53.174,53.508,53.889,54.313,54.777,55.271,55.786,56.312,56.844,57.377,57.904,58.418,58.908,59.367,59.795,60.192,60.561,60.904,
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,42.465,42.681,42.9,43.127,43.367,43.63,43.922,44.242,44.584,44.94,45.295,45.63,45.93,46.192,46.415,46.612,46.8,47.0,47.225,47.479,47.757,48.047,48.335,48.608,48.864,49.112,49.365,49.634,49.918,50.206,50.464,50.648,50.735,50.727,50.646,50.539,50.469,50.496,50.665,50.991,51.478,52.106,52.825,53.586,54.359,55.116,55.84,56.527,57.175,57.778,58.335,58.853,59.346,59.821,60.282,60.726,61.147,61.539,61.901,62.233,62.54,
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,48.351,49.006,49.634,50.233,50.802,51.339,51.846,52.323,52.775,53.205,53.617,54.013,54.397,54.77,55.135,55.494,55.85,56.202,56.544,56.874,57.192,57.499,57.788,58.049,58.269,58.427,58.503,58.486,58.368,58.15,57.821,57.373,56.826,56.215,55.578,54.957,54.391,53.918,53.574,53.393,53.416,53.673,54.149,54.813,55.633,56.562,57.548,58.537,59.482,60.354,61.141,61.851,62.515,63.153,63.765,64.339,64.86,65.316,65.703,66.023,66.287,
