Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.32983512,48.37728743,48.43603572,48.50503733,48.58651254,48.68016648,48.74601745,48.82694603,48.92002254,49.02020583,49.12494971,49.18964054,49.26386378,49.34412879,49.42660036,49.50593615,49.55476979,49.60810585,49.66119895,49.71096314,49.76087655,49.26437057,49.28728825,49.32195025,49.36370502,49.41420568,49.47365184,49.53576959,49.60658575,49.6900519,49.4720196,49.51975946
Burundi,BDI,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.12889479,52.24495461,52.39098908,52.54658871,52.68506653,52.78702678,52.71170077,52.61054157,52.49284319,52.33686554,52.19289188,52.12798879,52.07171815,52.02251542,51.97900434,51.93673772,51.89216761,51.84928405,51.80978675,51.77533385,51.7486529,51.7475804,51.75149668,51.75706009,51.76139565,51.72802017,51.69815523,51.67517542,51.66120937,51.65892761,51.63141352,51.49640071
Benin,BEN,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.77876193,41.68010639,41.59275629,42.05333082,42.52781595,43.01923588,43.54475734,44.08888428,44.64713267,45.21854912,45.8021079,46.39027939,46.99366045,47.21818248,47.45160072,47.69848077,47.98402097,48.2811165,48.58375304,48.88522158,49.18056058,49.46319588,49.44973074,49.44301706,49.44492126,49.45680756,49.46672663,49.48933028,49.52362975,49.56708204,49.52682021,49.43977898
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.03969487,49.98499992,49.67389654,49.34215223,48.99107778,48.62278627,48.24165316,47.84203896,47.42383875,46.98392514,46.52240923,46.03458564,45.52569883,44.9937676,44.44101078,43.86716791,43.27535277,43.37733472,43.50509462,43.66138669,43.85119022,44.07711483,44.34124939,44.64606559,44.9901453,44.96643693,44.94605463,44.93106401,44.92583788,44.93483265,44.87119627,44.74283157
Botswana,BWA,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.30887701,42.43375656,42.55395276,42.6803902,42.8286724,43.01111886,43.12212193,43.28451638,43.48859699,44.02737711,44.60507069,44.93906468,45.28657887,45.63241725,45.9639211,46.27497554,46.55808062,46.48022422,46.41931009,46.41525925,46.28428516,46.75426549,47.28837069,47.84370963,48.35894234,48.7977292,49.03286781,49.2003417,49.3233694,49.44051585,48.90660015,48.87934114
Central African Republic,CAF,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.02652023,46.0137659,46.01652155,46.03209371,46.05846693,46.09600686,46.08243786,46.07847853,46.08487088,46.09981682,46.11907913,46.0376705,45.96975037,45.91397959,45.8680037,45.83222869,45.73774539,45.6573456,45.59456921,45.55211876,45.53414912,45.41153223,45.30602078,45.2219932,45.15849693,45.11417535,45.18463716,45.27719998,45.38519473,45.49973262,45.24897411,45.29843215
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3367915,33.44470563,33.58168687,33.74357675,33.92415147,34.11782436,34.23490589,34.36947495,34.52049185,34.77763656,35.04376626,35.32578892,35.61998761,35.92169531,36.22911577,36.53860725,36.85383129,37.16985366,37.48669607,37.80695813,38.13246711,38.46842996,38.80654011,39.14836997,39.49550758,39.84803958,40.2108464,40.58021793,40.75011418,40.91214605,40.96788614,40.96662337
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15757076,48.12472234,48.10634133,48.10169664,48.11649347,48.14937012,48.17810275,48.22558621,48.28632748,48.35439619,48.42127339,48.44629552,48.4706693,48.49329635,48.51633155,48.53831267,48.52306603,48.51610366,47.97248631,47.34927026,46.64167865,46.63854739,46.64079843,46.64999936,46.667128,46.69406253,46.71889484,46.75465623,46.80066078,46.85572465,46.83910881,46.76783657
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.75864162,50.64989367,50.55591976,50.47573773,50.41890903,50.39802914,50.30751733,50.24718495,50.21392222,50.1941464,50.17369884,50.10123302,50.04442257,49.99550418,49.95354419,49.91672351,49.66902238,49.40564007,49.12931086,48.8405499,48.54015266,48.2306693,47.90808604,47.87168814,47.85288495,47.85286455,47.83740871,47.84745161,47.8822085,47.93677124,47.43887689,47.48204628
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.67206762,49.77561924,49.89299828,50.013301,50.12457059,50.22215155,50.27912245,50.32345572,50.35638974,50.3783529,50.39433138,50.35335243,50.31584999,50.27583944,50.2273798,50.16546167,50.12324347,50.07335735,50.018684,49.97409491,49.94689385,49.80717914,49.69812439,49.6167538,49.55881722,49.52344105,49.53971363,49.58252684,49.65108176,49.74081537,49.2007556,49.41979787
