Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,36.305,36.582,36.874,37.181,37.501,37.833,38.177,38.532,38.894,39.26,39.627,39.994,40.359,40.716,41.063,41.394,41.703,41.99,42.254,42.492,42.708,42.906,43.09,43.259,43.414,43.544,43.64,43.696,43.711,43.692,43.642,43.568,43.487,43.416,43.374,43.378,43.442,43.574,43.781,44.074,44.466,44.966,45.567,46.261,47.038,47.893,48.821,49.807,50.826,51.85,52.848,53.79,54.66,55.447,56.14,56.737,57.242,57.677,58.064,58.416,58.744,
Burundi,BDI,Sub-Saharan Africa,Low income,39.698,40.004,40.316,40.63,40.941,41.236,41.498,41.72,41.905,42.063,42.218,42.402,42.639,42.94,43.302,43.705,44.118,44.509,44.852,45.14,45.388,45.625,45.875,46.148,46.434,46.695,46.882,46.96,46.912,46.747,46.482,46.149,45.805,45.508,45.301,45.238,45.36,45.668,46.149,46.788,47.555,48.407,49.291,50.163,50.997,51.785,52.536,53.275,54.014,54.749,55.467,56.149,56.783,57.357,57.871,58.325,58.726,59.092,59.435,59.764,60.086,
Benin,BEN,Sub-Saharan Africa,Lower middle income,36.823,37.233,37.642,38.05,38.458,38.861,39.255,39.637,40.008,40.368,40.726,41.087,41.459,41.844,42.243,42.645,43.034,43.402,43.753,44.097,44.459,44.872,45.359,45.935,46.599,47.356,48.202,49.105,50.024,50.919,51.732,52.402,52.905,53.238,53.41,53.455,53.425,53.389,53.403,53.499,53.701,54.016,54.415,54.866,55.352,55.85,56.334,56.788,57.199,57.559,57.869,58.135,58.379,58.615,58.853,59.1,59.361,59.633,59.914,60.201,60.494,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,33.454,33.904,34.361,34.826,35.297,35.768,36.231,36.681,37.118,37.547,37.972,38.399,38.842,39.314,39.83,40.422,41.125,41.94,42.851,43.829,44.82,45.761,46.595,47.282,47.799,48.14,48.319,48.383,48.379,48.335,48.27,48.195,48.116,48.046,48.006,48.013,48.083,48.221,48.433,48.727,49.117,49.613,50.208,50.888,51.637,52.436,53.265,54.102,54.924,55.71,56.441,57.105,57.705,58.249,58.739,59.183,59.592,59.981,60.361,60.739,61.119,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,46.312,46.793,47.252,47.691,48.112,48.523,48.93,49.342,49.765,50.205,50.668,51.16,51.677,52.212,52.759,53.311,53.864,54.407,54.928,55.417,55.876,56.317,56.735,57.113,57.421,57.598,57.575,57.322,56.835,56.137,55.278,54.331,53.381,52.498,51.72,51.041,50.42,49.815,49.215,48.657,48.213,47.97,47.996,48.334,48.995,49.981,51.269,52.78,54.421,56.119,57.802,59.412,60.916,62.282,63.474,64.458,65.22,65.79,66.204,66.485,66.665,
Central African Republic,CAF,Sub-Saharan Africa,Low income,34.811,35.255,35.709,36.18,36.674,37.202,37.776,38.397,39.064,39.771,40.512,41.282,42.064,42.842,43.599,44.321,44.999,45.628,46.201,46.706,47.134,47.476,47.735,47.912,48.008,48.026,47.974,47.858,47.685,47.458,47.167,46.792,46.332,45.799,45.219,44.628,44.064,43.566,43.164,42.88,42.727,42.704,42.787,42.953,43.193,43.5,43.868,44.291,44.763,45.273,45.82,46.406,47.029,47.678,48.338,48.985,49.594,50.152,50.649,51.081,51.454,
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,35.648,36.399,37.134,37.847,38.54,39.22,39.898,40.585,41.289,42.012,42.754,43.513,44.279,45.039,45.783,46.498,47.177,47.812,48.399,48.934,49.418,49.857,50.256,50.618,50.939,51.212,51.428,51.578,51.655,51.656,51.571,51.389,51.118,50.775,50.377,49.946,49.501,49.066,48.67,48.341,48.107,47.987,47.982,48.092,48.317,48.66,49.12,49.677,50.307,50.986,51.689,52.396,53.091,53.756,54.375,54.935,55.428,55.864,56.251,56.593,56.897,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,40.579,41.051,41.522,41.988,42.449,42.905,43.359,43.815,44.276,44.743,45.222,45.716,46.223,46.741,47.264,47.784,48.296,48.791,49.262,49.702,50.114,50.503,50.872,51.216,51.527,51.788,51.979,52.087,52.105,52.031,51.858,51.579,51.214,50.794,50.353,49.94,49.601,49.369,49.266,49.304,49.485,49.795,50.196,50.65,51.134,51.625,52.106,52.573,53.026,53.462,53.889,54.323,54.777,55.258,55.76,56.27,56.768,57.235,57.656,58.029,58.354,
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,39.64,39.855,40.072,40.298,40.538,40.8,41.092,41.411,41.752,42.107,42.46,42.793,43.092,43.352,43.575,43.771,43.96,44.16,44.386,44.64,44.918,45.208,45.495,45.766,46.02,46.263,46.512,46.776,47.055,47.338,47.592,47.772,47.858,47.85,47.769,47.663,47.595,47.623,47.79,48.114,48.598,49.223,49.939,50.698,51.47,52.229,52.957,53.651,54.307,54.917,55.479,55.997,56.481,56.941,57.378,57.79,58.174,58.528,58.852,59.147,59.42,
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,43.247,43.822,44.368,44.884,45.371,45.833,46.277,46.708,47.13,47.547,47.956,48.356,48.742,49.111,49.463,49.8,50.126,50.446,50.756,51.052,51.33,51.582,51.801,51.979,52.107,52.174,52.171,52.099,51.964,51.778,51.544,51.27,50.974,50.682,50.419,50.217,50.098,50.078,50.17,50.388,50.751,51.274,51.941,52.728,53.607,54.545,55.506,56.456,57.365,58.207,58.969,59.65,60.265,60.829,61.342,61.801,62.202,62.546,62.837,63.082,63.291,
