Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,124000000.0,135000000.0,148000000.0,163000000.0,204000000.0,200000000.0,221000000.0,238000000.0,271000000.0,326000000.0,423000000.0,455000000.0,479000000.0,792000000.0,1202000000.0,1012000000.0,619000000.0,786000000.0,968000000.0,1091000000.0,1883000000.0,1856000000.0,1629000000.0,1822000000.0,2033000000.0,2245000000.0,1332000000.0,2168000000.0,2516000000.0,3015000000.0,3910000000.0,3410000000.0,3755000000.0,3762000000.0,3018000000.0,3642000000.0,5095000000.0,5007000000.0,3543000000.0,5157000000.0,7921000000.0,6534000000.0,8328000000.0,9508000000.0,13475000000.0,24109000000.0,31862000000.0,44396000000.0,63914000000.0,40828000000.0,50595000000.0,67310000000.0,71093000000.0,68247000000.0,59170000000.0,33181000000.0,27589000000.0,34613000000.0,40758000000.0,34726000000.0,20937000000.0,33337000000.0
Burundi,BDI,Sub-Saharan Africa,Low income,7000000.0,8000000.0,9000000.0,9000000.0,9000000.0,9000000.0,10000000.0,14000000.0,15000000.0,12000000.0,24000000.0,19000000.0,26000000.0,30000000.0,31000000.0,32000000.0,61000000.0,90000000.0,69000000.0,104000000.0,65000000.0,75000000.0,88000000.0,80000000.0,103000000.0,112000000.0,154000000.0,91000000.0,133000000.0,78000000.0,75000000.0,90000000.0,72000000.0,68000000.0,120000000.0,105000000.0,39000000.0,86000000.0,65000000.0,54000000.0,50000000.0,39000000.0,30000000.0,38000000.0,47000000.0,58000000.0,58000000.0,59000000.0,57000000.0,67000000.0,101000000.0,123000000.0,134000000.0,94000000.0,132000000.0,121000000.0,125000000.0,172000000.0,180000000.0,180000000.0,162000000.0,103000000.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,18000000.0,15000000.0,11000000.0,13000000.0,13000000.0,14000000.0,10000000.0,15000000.0,22000000.0,27000000.0,33000000.0,42000000.0,36000000.0,43000000.0,34000000.0,32000000.0,25000000.0,31000000.0,27000000.0,46000000.0,63000000.0,34000000.0,24000000.0,67000000.0,167000000.0,199000000.0,188000000.0,260000000.0,226000000.0,218000000.0,288000000.0,330000000.0,335000000.0,384000000.0,398000000.0,420000000.0,528000000.0,424000000.0,407000000.0,422000000.0,392000000.0,374000000.0,448000000.0,541000000.0,569000000.0,578000000.0,736000000.0,1047000000.0,1282000000.0,1225000000.0,1282000000.0,1410000000.0,1443000000.0,1982000000.0,2560000000.0,1682000000.0,1774000000.0,2216000000.0,3344000000.0,3052000000.0,2996000000.0,3684000000.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,4000000.0,4000000.0,8000000.0,9000000.0,12000000.0,15000000.0,16000000.0,18000000.0,21000000.0,21000000.0,18000000.0,16000000.0,20000000.0,25000000.0,36000000.0,44000000.0,53000000.0,55000000.0,43000000.0,77000000.0,90000000.0,74000000.0,56000000.0,58000000.0,79000000.0,71000000.0,83000000.0,155000000.0,142000000.0,95000000.0,152000000.0,106000000.0,64000000.0,69000000.0,107000000.0,276000000.0,233000000.0,232000000.0,319000000.0,255000000.0,209000000.0,223000000.0,247000000.0,321000000.0,479000000.0,468000000.0,588000000.0,623000000.0,693000000.0,900000000.0,1591000000.0,2399000000.0,2182000000.0,2356000000.0,2453000000.0,2176000000.0,2509000000.0,2875000000.0,3254000000.0,3239000000.0,4372000000.0,4797000000.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,8000000.0,9000000.0,9000000.0,11000000.0,12000000.0,14000000.0,15000000.0,13000000.0,10000000.0,18000000.0,26000000.0,42000000.0,58000000.0,85000000.0,121000000.0,142000000.0,170000000.0,186000000.0,233000000.0,451000000.0,502000000.0,397000000.0,454000000.0,635000000.0,660000000.0,728000000.0,862000000.0,1587000000.0,1465000000.0,1857000000.0,1784000000.0,1849000000.0,1742000000.0,1780000000.0,1878000000.0,2142000000.0,2447000000.0,2842000000.0,2058000000.0,2644000000.0,2675000000.0,2510000000.0,2425000000.0,2810000000.0,3513000000.0,4425000000.0,4529000000.0,5174000000.0,4951000000.0,3456000000.0,4693000000.0,5882000000.0,5971000000.0,7911000000.0,8510000000.0,6316000000.0,7366000000.0,5870000000.0,6573000000.0,5237000000.0,4262000000.0,7095000000.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,14000000.0,14000000.0,14000000.0,22000000.0,29000000.0,26000000.0,31000000.0,29000000.0,36000000.0,36000000.0,30000000.0,32000000.0,39000000.0,37000000.0,48000000.0,47000000.0,61000000.0,82000000.0,72000000.0,80000000.0,116000000.0,79000000.0,107000000.0,80000000.0,86000000.0,92000000.0,66000000.0,130000000.0,130000000.0,134000000.0,120000000.0,126000000.0,107000000.0,110000000.0,151000000.0,171000000.0,147000000.0,163000000.0,151000000.0,146000000.0,161000000.0,142000000.0,147000000.0,128000000.0,134000000.0,128000000.0,158000000.0,178000000.0,150000000.0,120000000.0,140000000.0,190000000.0,203000000.0,116000000.0,99000000.0,86000000.0,115000000.0,140000000.0,164000000.0,147000000.0,133000000.0,162000000.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,157000000.0,193000000.0,193000000.0,230000000.0,296000000.0,277000000.0,311000000.0,325000000.0,425000000.0,452000000.0,469000000.0,457000000.0,553000000.0,857000000.0,1213000000.0,1181000000.0,1632000000.0,2157000000.0,2322000000.0,2514000000.0,3134000000.0,2533000000.0,2350000000.0,2090000000.0,2706000000.0,3197000000.0,3354000000.0,3109000000.0,2769000000.0,2807000000.0,3072000000.0,2686000000.0,2875000000.0,2519000000.0,2742000000.0,3806000000.0,4446000000.0,4451000000.0,4606000000.0,4661000000.0,3888000000.0,3946000000.0,5275000000.0,5788000000.0,6919000000.0,7697000000.0,8477000000.0,8669000000.0,10390000000.0,11327000000.0,11410000000.0,12635000000.0,12124000000.0,12049000000.0,12951000000.0,11730000000.0,10876000000.0,11853000000.0,11912000000.0,12629000000.0,12575000000.0,15333000000.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,97000000.0,98000000.0,103000000.0,135000000.0,125000000.0,144000000.0,131000000.0,121000000.0,189000000.0,225000000.0,226000000.0,207000000.0,221000000.0,353000000.0,478000000.0,447000000.0,511000000.0,704000000.0,802000000.0,1132000000.0,1384000000.0,1105000000.0,1064000000.0,976000000.0,886000000.0,722000000.0,782000000.0,806000000.0,927000000.0,1682000000.0,2002000000.0,1834000000.0,1840000000.0,1883000000.0,1486000000.0,1651000000.0,1768000000.0,1860000000.0,1671000000.0,1601000000.0,1833000000.0,1749000000.0,1802000000.0,2283000000.0,2477000000.0,2861000000.0,3576000000.0,4230000000.0,5241000000.0,3552000000.0,3878000000.0,4517000000.0,4274000000.0,4515000000.0,5145000000.0,4058000000.0,3305000000.0,3233000000.0,3803000000.0,4084000000.0,3150000000.0,4115000000.0
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,480000000.0,300000000.0,341000000.0,459000000.0,318000000.0,306000000.0,424000000.0,446000000.0,570000000.0,680000000.0,781000000.0,687000000.0,738000000.0,1013000000.0,1381000000.0,865000000.0,944000000.0,989000000.0,931000000.0,1514000000.0,2269000000.0,1678000000.0,1601000000.0,1686000000.0,1928000000.0,1853000000.0,1844000000.0,1813000000.0,2460000000.0,2417000000.0,2326000000.0,1649000000.0,1246000000.0,1144000000.0,1256000000.0,1563000000.0,1547000000.0,1449000000.0,1422000000.0,809000000.0,807000000.0,880000000.0,1132000000.0,1378000000.0,1917000000.0,2403000000.0,2705000000.0,3100000000.0,4400000000.0,3500000000.0,5300000000.0,6600000000.0,6300000000.0,6200000000.0,7915000000.0,8685000000.0,7193000000.0,12296000000.0,20004000000.0,13382000000.0,14122000000.0,19900000000.0
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,18000000.0,20000000.0,35000000.0,42000000.0,47000000.0,47000000.0,43000000.0,48000000.0,49000000.0,44000000.0,31000000.0,40000000.0,60000000.0,89000000.0,229000000.0,178000000.0,221000000.0,267000000.0,308000000.0,496000000.0,911000000.0,811000000.0,993000000.0,640000000.0,1183000000.0,1087000000.0,777000000.0,973000000.0,937000000.0,1247000000.0,981000000.0,1029000000.0,1183000000.0,1068000000.0,959000000.0,1172000000.0,1345000000.0,1668000000.0,1365000000.0,1560000000.0,2489000000.0,2055000000.0,2280000000.0,2677000000.0,3433000000.0,4745000000.0,6078000000.0,6293000000.0,9170000000.0,8202000000.0,6918000000.0,13824000000.0,7438000000.0,10453000000.0,8673000000.0,8623000000.0,7901000000.0,8252000000.0,11155000000.0,5576000000.0,4893000000.0,6970000000.0
