Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,2691228.0,2723756.0,2764418.0,2805973.0,2838088.0,2854424.0,2851120.0,2833547.0,2815789.0,2817270.0,2851560.0,2924403.0,3030866.0,3161052.0,3300203.0,3437420.0,3569942.0,3700950.0,3832790.0,3969827.0,4115191.0,4268958.0,4429534.0,4596506.0,4769228.0,4947169.0,5130467.0,5319218.0,5512806.0,5710436.0,5911638.0,6116458.0,6325395.0,6539142.0,6758623.0,6984738.0,7218187.0,7459618.0,7709857.0,7969817.0,8240458.0,8521795.0,8814755.0,9122235.0,9447886.0,9794134.0,10162225.0,10551020.0,10957506.0,11377265.0,11806970.0,12245836.0,12694373.0,13151985.0,13618285.0,14093136.0,14576127.0,15067450.0,15568328.0,16080520.0,16605398.0,17143471.0
Burundi,BDI,Sub-Saharan Africa,Low income,1447143.0,1474273.0,1501588.0,1530009.0,1560845.0,1594823.0,1632850.0,1674218.0,1716214.0,1755072.0,1788310.0,1814755.0,1835856.0,1855046.0,1877209.0,1905892.0,1942211.0,1985199.0,2033756.0,2085983.0,2140407.0,2196699.0,2255181.0,2315718.0,2378270.0,2442685.0,2508646.0,2575569.0,2642735.0,2709238.0,2774306.0,2838645.0,2902148.0,2962379.0,3016182.0,3061896.0,3098079.0,3127093.0,3155804.0,3193517.0,3246943.0,3318648.0,3406889.0,3508789.0,3619552.0,3735550.0,3856333.0,3982782.0,4114011.0,4249199.0,4387755.0,4528952.0,4672691.0,4819833.0,4971727.0,5129299.0,5292745.0,5461514.0,5634849.0,5811589.0,5990917.0,6172572.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,1274966.0,1291361.0,1309215.0,1328602.0,1349636.0,1372419.0,1396974.0,1423292.0,1451275.0,1480814.0,1511842.0,1544342.0,1578385.0,1614136.0,1651785.0,1691502.0,1733374.0,1777415.0,1823572.0,1871767.0,1921977.0,1974303.0,2028878.0,2085674.0,2144677.0,2205925.0,2269184.0,2334649.0,2403309.0,2476474.0,2554949.0,2639316.0,2728985.0,2822260.0,2916760.0,3010794.0,3103701.0,3196075.0,3289037.0,3384292.0,3483088.0,3585778.0,3691953.0,3801242.0,3913010.0,4026821.0,4142660.0,4260764.0,4381293.0,4504448.0,4630420.0,4759222.0,4890899.0,5025698.0,5163932.0,5305830.0,5451503.0,5600895.0,5753796.0,5909895.0,6068950.0,6230889.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2371306.0,2409904.0,2448950.0,2488940.0,2530584.0,2574392.0,2620625.0,2669181.0,2719734.0,2771768.0,2824972.0,2879394.0,2935316.0,2993068.0,3053069.0,3115703.0,3180993.0,3249130.0,3320783.0,3396788.0,3477732.0,3563972.0,3655302.0,3751074.0,3850301.0,3952260.0,4056832.0,4164257.0,4274661.0,4388274.0,4505343.0,4625886.0,4750007.0,4878020.0,5010312.0,5147239.0,5289053.0,5435867.0,5587701.0,5744496.0,5906289.0,6073090.0,6245192.0,6423210.0,6607939.0,6799932.0,6999445.0,7206343.0,7420314.0,7640862.0,7867592.0,8100461.0,8339523.0,8584578.0,8835398.0,9091844.0,9353835.0,9621388.0,9894592.0,10173609.0,10458565.0,10749446.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,258813.0,263828.0,269359.0,275332.0,281560.0,287959.0,294525.0,301399.0,308727.0,316740.0,325610.0,335325.0,345888.0,357514.0,370472.0,384917.0,401023.0,418628.0,437111.0,455642.0,473626.0,490714.0,507106.0,523512.0,540928.0,560026.0,581061.0,603636.0,626945.0,649826.0,671468.0,691560.0,710328.0,728136.0,745513.0,762874.0,780350.0,797787.0,815027.0,831779.0,847900.0,863288.0,878119.0,892835.0,908062.0,924207.0,941550.0,959935.0,978824.0,997437.0,1015242.0,1031977.0,1047927.0,1063856.0,1080798.0,1099500.0,1120211.0,1142607.0,1166046.0,1189587.0,1212526.0,1234670.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,762234.0,774689.0,787877.0,801889.0,816793.0,832632.0,849587.0,867544.0,885811.0,903475.0,919951.0,934967.0,948946.0,962827.0,977967.0,995357.0,1015110.0,1037016.0,1061349.0,1088348.0,1118036.0,1150932.0,1186693.0,1223464.0,1258764.0,1290910.0,1318964.0,1343744.0,1367563.0,1393703.0,1424484.0,1460652.0,1501302.0,1545077.0,1589884.0,1634152.0,1677486.0,1720193.0,1762302.0,1804003.0,1845398.0,1886113.0,1925842.0,1964888.0,2003719.0,2042502.0,2081976.0,2121636.0,2159049.0,2190888.0,2215124.0,2230666.0,2239125.0,2244484.0,2252275.0,2266606.0,2288847.0,2318147.0,2353555.0,2393206.0,2435722.0,2481019.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1704428.0,1763636.0,1827821.0,1896064.0,1966961.0,2039700.0,2113874.0,2190348.0,2271079.0,2358728.0,2455248.0,2561339.0,2676506.0,2799948.0,2930322.0,3066601.0,3208505.0,3356245.0,3509760.0,3669153.0,3834355.0,4005405.0,4181971.0,4363103.0,4547630.0,4734750.0,4923745.0,5114930.0,5309617.0,5509773.0,5716647.0,5930211.0,6149523.0,6373630.0,6601266.0,6831129.0,7063640.0,7298174.0,7531153.0,7758050.0,7975896.0,8183406.0,8382363.0,8576950.0,8773074.0,8975373.0,9185251.0,9402489.0,9628035.0,9862515.0,10106430.0,10360527.0,10625267.0,10900328.0,11185031.0,11478829.0,11781686.0,12093608.0,12414060.0,12742348.0,13077895.0,13420382.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2630071.0,2683961.0,2740646.0,2800140.0,2862366.0,2927338.0,2995165.0,3066052.0,3140164.0,3217681.0,3298778.0,3383609.0,3472347.0,3565216.0,3662450.0,3764286.0,3870833.0,3982239.0,4098746.0,4220695.0,4348291.0,4481487.0,4620221.0,4764634.0,4914884.0,5070945.0,5232908.0,5400361.0,5572210.0,5747030.0,5923729.0,6102088.0,6282243.0,6463956.0,6647063.0,6831600.0,7017468.0,7205067.0,7395619.0,7590734.0,7791677.0,7998955.0,8212674.0,8433249.0,8661010.0,8896229.0,9139126.0,9389810.0,9648222.0,9914162.0,10187444.0,10468054.0,10755870.0,11050423.0,11351123.0,11657496.0,11969336.0,12286573.0,12609010.0,12936459.0,13268789.0,13605827.0
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,7964767.0,8155715.0,8353723.0,8560398.0,8777873.0,9007548.0,9250458.0,9505717.0,9770354.0,10040203.0,10312458.0,10585333.0,10860073.0,11140574.0,11432415.0,11739302.0,12064133.0,12405018.0,12755211.0,13105147.0,13448747.0,13784964.0,14118609.0,14456889.0,14809878.0,15186030.0,15583035.0,16001396.0,16455197.0,16962298.0,17532879.0,18178341.0,18888879.0,19627637.0,20343778.0,21002524.0,21589557.0,22120551.0,22627601.0,23157971.0,23746689.0,24403745.0,25121036.0,25893609.0,26710607.0,27564081.0,28454736.0,29386784.0,30359388.0,31371535.0,32422236.0,33510549.0,34635680.0,35796890.0,36993480.0,38224572.0,39489787.0,40787891.0,42116217.0,43471465.0,44851232.0,46254249.0
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,517667.0,530459.0,543872.0,557928.0,572646.0,588029.0,604098.0,620862.0,638350.0,656601.0,675641.0,695481.0,716114.0,737482.0,759506.0,782118.0,805276.0,829017.0,853388.0,878479.0,904339.0,931020.0,958477.0,986617.0,1015266.0,1044333.0,1073797.0,1103740.0,1134291.0,1165638.0,1197941.0,1231239.0,1265569.0,1300995.0,1337579.0,1375384.0,1414592.0,1455228.0,1497163.0,1540143.0,1584091.0,1628635.0,1674007.0,1721311.0,1772069.0,1827170.0,1887302.0,1951730.0,2018345.0,2084233.0,2147328.0,2206804.0,2263417.0,2318674.0,2374824.0,2433522.0,2495201.0,2559385.0,2625622.0,2693146.0,2761414.0,2830380.0
