Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,128000000.0,114000000.0,136000000.0,147000000.0,164000000.0,195000000.0,207000000.0,275000000.0,303000000.0,321000000.0,368000000.0,445000000.0,392000000.0,579000000.0,614000000.0,429000000.0,353000000.0,720000000.0,885000000.0,1112000000.0,1328000000.0,1662000000.0,886000000.0,983000000.0,1256000000.0,1401000000.0,1086000000.0,1303000000.0,1372000000.0,1338000000.0,1578000000.0,1347000000.0,1988000000.0,1463000000.0,1454000000.0,1468000000.0,2040000000.0,2597000000.0,2079000000.0,3109000000.0,3040000000.0,3179000000.0,3760000000.0,5480000000.0,5832000000.0,8353000000.0,8778000000.0,13661000000.0,20982000000.0,22660000000.0,16667000000.0,20228000000.0,23717000000.0,26331000000.0,28580000000.0,20693000000.0,13040000000.0,14463000000.0,15798000000.0,14127000000.0,9543000000.0,12777000000.0
Burundi,BDI,Sub-Saharan Africa,Low income,21000000.0,17000000.0,19000000.0,18000000.0,17000000.0,18000000.0,20000000.0,20000000.0,23000000.0,21000000.0,22000000.0,30000000.0,32000000.0,31000000.0,43000000.0,62000000.0,58000000.0,74000000.0,98000000.0,152000000.0,168000000.0,161000000.0,213000000.0,182000000.0,186000000.0,189000000.0,202000000.0,212000000.0,204000000.0,187000000.0,231000000.0,255000000.0,221000000.0,196000000.0,224000000.0,234000000.0,127000000.0,121000000.0,158000000.0,118000000.0,148000000.0,139000000.0,129000000.0,157000000.0,176000000.0,269000000.0,431000000.0,319000000.0,403000000.0,402000000.0,509000000.0,752000000.0,751000000.0,811000000.0,769000000.0,857000000.0,616000000.0,755000000.0,793000000.0,887000000.0,909000000.0,1074000000.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,31000000.0,25000000.0,27000000.0,33000000.0,31000000.0,34000000.0,33000000.0,48000000.0,50000000.0,55000000.0,64000000.0,77000000.0,92000000.0,112000000.0,147000000.0,188000000.0,219000000.0,268000000.0,311000000.0,320000000.0,331000000.0,543000000.0,464000000.0,318000000.0,288000000.0,331000000.0,387000000.0,349000000.0,568000000.0,421000000.0,265000000.0,241000000.0,578000000.0,571000000.0,431000000.0,746000000.0,654000000.0,681000000.0,736000000.0,749000000.0,613000000.0,623000000.0,725000000.0,892000000.0,894000000.0,1018000000.0,1228000000.0,2037000000.0,2289000000.0,2064000000.0,2054000000.0,2129000000.0,2339000000.0,3010000000.0,3828000000.0,2561000000.0,2872000000.0,3494000000.0,4375000000.0,3932000000.0,3555000000.0,4678000000.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,11000000.0,28000000.0,35000000.0,37000000.0,40000000.0,37000000.0,38000000.0,36000000.0,44000000.0,54000000.0,49000000.0,56000000.0,69000000.0,98000000.0,144000000.0,151000000.0,144000000.0,209000000.0,227000000.0,301000000.0,359000000.0,338000000.0,347000000.0,291000000.0,253000000.0,332000000.0,405000000.0,434000000.0,454000000.0,391000000.0,536000000.0,533000000.0,466000000.0,509000000.0,349000000.0,455000000.0,647000000.0,587000000.0,732000000.0,678000000.0,611000000.0,656000000.0,739000000.0,925000000.0,1270000000.0,1260000000.0,1319000000.0,1678000000.0,2018000000.0,1870000000.0,2048000000.0,2406000000.0,3575000000.0,4365000000.0,3576000000.0,3080000000.0,3345000000.0,3861000000.0,4301000000.0,4284000000.0,4126000000.0,4916000000.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,9000000.0,8000000.0,11000000.0,12000000.0,13000000.0,23000000.0,26000000.0,31000000.0,33000000.0,46000000.0,57000000.0,83000000.0,110000000.0,166000000.0,184000000.0,216000000.0,209000000.0,286000000.0,371000000.0,538000000.0,692000000.0,797000000.0,689000000.0,735000000.0,697000000.0,580000000.0,713000000.0,937000000.0,1196000000.0,1500000000.0,1946000000.0,1947000000.0,1861000000.0,1771000000.0,1640000000.0,1911000000.0,1723000000.0,2258000000.0,2251000000.0,2198000000.0,2081000000.0,1809000000.0,1845000000.0,2448000000.0,3231000000.0,3161000000.0,3086000000.0,4067000000.0,5211000000.0,4728000000.0,5657000000.0,7272000000.0,8025000000.0,8352000000.0,8078000000.0,7238000000.0,6143000000.0,5329000000.0,6312000000.0,6564000000.0,6516000000.0,8308000000.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,20000000.0,22000000.0,25000000.0,26000000.0,30000000.0,27000000.0,35000000.0,44000000.0,40000000.0,38000000.0,34000000.0,33000000.0,34000000.0,52000000.0,46000000.0,69000000.0,55000000.0,63000000.0,57000000.0,70000000.0,81000000.0,95000000.0,123000000.0,77000000.0,87000000.0,113000000.0,167000000.0,204000000.0,201000000.0,150000000.0,154000000.0,92000000.0,145000000.0,125000000.0,139000000.0,175000000.0,141000000.0,141000000.0,146000000.0,131000000.0,117000000.0,107000000.0,120000000.0,118000000.0,151000000.0,175000000.0,203000000.0,249000000.0,300000000.0,270000000.0,300000000.0,310000000.0,323000000.0,213000000.0,406000000.0,346000000.0,399000000.0,488000000.0,606000000.0,603000000.0,593000000.0,590000000.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,131000000.0,169000000.0,156000000.0,170000000.0,235000000.0,236000000.0,254000000.0,264000000.0,307000000.0,333000000.0,388000000.0,400000000.0,454000000.0,710000000.0,969000000.0,1127000000.0,1296000000.0,1756000000.0,2326000000.0,2491000000.0,2967000000.0,2382000000.0,2180000000.0,1839000000.0,1496000000.0,1749000000.0,2055000000.0,2370000000.0,2079000000.0,2111000000.0,2097000000.0,2103000000.0,2352000000.0,2115000000.0,1917000000.0,2931000000.0,2902000000.0,2781000000.0,2991000000.0,2898000000.0,2482000000.0,2548000000.0,2599000000.0,3279000000.0,4715000000.0,5865000000.0,5820000000.0,6683000000.0,7884000000.0,6960000000.0,7849000000.0,6720000000.0,9770000000.0,12483000000.0,11178000000.0,9532000000.0,8404000000.0,9614000000.0,10970000000.0,10483000000.0,10650000000.0,14007000000.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,84000000.0,96000000.0,102000000.0,128000000.0,116000000.0,134000000.0,131000000.0,177000000.0,188000000.0,204000000.0,242000000.0,251000000.0,303000000.0,334000000.0,437000000.0,599000000.0,613000000.0,735000000.0,1056000000.0,1275000000.0,1602000000.0,1427000000.0,1211000000.0,1224000000.0,1112000000.0,1151000000.0,1704000000.0,1723000000.0,1274000000.0,1261000000.0,1400000000.0,1173000000.0,1163000000.0,1102000000.0,1083000000.0,1199000000.0,1227000000.0,1359000000.0,1495000000.0,1318000000.0,1489000000.0,1852000000.0,1866000000.0,2163000000.0,2406000000.0,2735000000.0,3150000000.0,4657000000.0,5686000000.0,4442000000.0,5133000000.0,6800000000.0,6515000000.0,6649000000.0,7553000000.0,6045000000.0,5206000000.0,4796000000.0,5656000000.0,6264000000.0,5349000000.0,5670000000.0
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,235000000.0,200000000.0,86000000.0,131000000.0,87000000.0,97000000.0,104000000.0,78000000.0,103000000.0,132000000.0,179000000.0,203000000.0,208000000.0,251000000.0,349000000.0,300000000.0,224000000.0,203000000.0,196000000.0,199000000.0,1519000000.0,1421000000.0,1297000000.0,1213000000.0,1176000000.0,1247000000.0,1283000000.0,1774000000.0,1610000000.0,1925000000.0,1739000000.0,1304000000.0,935000000.0,614000000.0,667000000.0,871000000.0,1089000000.0,770000000.0,1102000000.0,568000000.0,683000000.0,790000000.0,1081000000.0,1495000000.0,2051000000.0,2690000000.0,2892000000.0,3400000000.0,4300000000.0,3900000000.0,4500000000.0,5500000000.0,6100000000.0,6300000000.0,7087000000.0,8068000000.0,5492000000.0,5803000000.0,7930000000.0,8825000000.0,6663000000.0,9600000000.0
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,70000000.0,79000000.0,76000000.0,64000000.0,67000000.0,67000000.0,72000000.0,84000000.0,86000000.0,80000000.0,59000000.0,82000000.0,104000000.0,128000000.0,127000000.0,170000000.0,172000000.0,208000000.0,259000000.0,291000000.0,580000000.0,446000000.0,767000000.0,648000000.0,618000000.0,598000000.0,597000000.0,529000000.0,564000000.0,518000000.0,621000000.0,594000000.0,451000000.0,581000000.0,631000000.0,670000000.0,1551000000.0,926000000.0,680000000.0,821000000.0,465000000.0,682000000.0,675000000.0,831000000.0,969000000.0,1304000000.0,2013000000.0,3929000000.0,3540000000.0,4447000000.0,4369000000.0,7013000000.0,7349000000.0,8372000000.0,10099000000.0,10550000000.0,11270000000.0,4560000000.0,3486000000.0,2242000000.0,1908000000.0,2302000000.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,4000000.0,4000000.0,4000000.0,5000000.0,6000000.0,7000000.0,7000000.0,7000000.0,7000000.0,8000000.0,9000000.0,10000000.0,12000000.0,15000000.0,26000000.0,23000000.0,13000000.0,16000000.0,19000000.0,29000000.0,29000000.0,32000000.0,33000000.0,34000000.0,43000000.0,36000000.0,37000000.0,52000000.0,53000000.0,43000000.0,52000000.0,58000000.0,69000000.0,59000000.0,53000000.0,63000000.0,57000000.0,55000000.0,54000000.0,55000000.0,43000000.0,51000000.0,53000000.0,70000000.0,86000000.0,99000000.0,115000000.0,138000000.0,180000000.0,210000000.0,233000000.0,277000000.0,273000000.0,284000000.0,278000000.0,214000000.0,219000000.0,253000000.0,243000000.0,265000000.0,280000000.0,324000000.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,12000000.0,6000000.0,7000000.0,4000000.0,7000000.0,6000000.0,6000000.0,7000000.0,7000000.0,11000000.0,16000000.0,20000000.0,24000000.0,34000000.0,34000000.0,40000000.0,30000000.0,38000000.0,53000000.0,53000000.0,68000000.0,71000000.0,72000000.0,87000000.0,83000000.0,84000000.0,107000000.0,100000000.0,106000000.0,112000000.0,136000000.0,147000000.0,180000000.0,154000000.0,209000000.0,252000000.0,234000000.0,235000000.0,228000000.0,246000000.0,230000000.0,234000000.0,276000000.0,351000000.0,431000000.0,438000000.0,542000000.0,750000000.0,825000000.0,709000000.0,742000000.0,947000000.0,766000000.0,725000000.0,768000000.0,604000000.0,666000000.0,789000000.0,816000000.0,796000000.0,720000000.0,800000000.0
Eritrea,ERI,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351000000.0,349000000.0,489000000.0,454000000.0,553000000.0,525000000.0,508000000.0,510000000.0,471000000.0,423000000.0,538000000.0,433000000.0,480000000.0,490000000.0,495000000.0,510000000.0,600000000.0,590000000.0,660000000.0,950000000.0,970000000.0,1040000000.0,1130000000.0,1020000000.0,957000000.0,1026000000.0,1065000000.0,1146000000.0,980000000.0,1158000000.0
Ethiopia,ETH,Sub-Saharan Africa,Low income,88000000.0,95000000.0,104000000.0,111000000.0,123000000.0,150000000.0,162000000.0,143000000.0,173000000.0,155000000.0,172000000.0,188000000.0,189000000.0,214000000.0,283000000.0,313000000.0,352000000.0,352000000.0,455000000.0,567000000.0,716000000.0,739000000.0,786000000.0,875000000.0,942000000.0,993000000.0,1102000000.0,1066000000.0,1129000000.0,943000000.0,1081000000.0,472000000.0,839000000.0,787000000.0,1033000000.0,1145000000.0,1401000000.0,1113000000.0,1517000000.0,1538000000.0,1260000000.0,1811000000.0,1594000000.0,2686000000.0,2874000000.0,4095000000.0,5207000000.0,5809000000.0,8277000000.0,7668000000.0,8602000000.0,8896000000.0,11913000000.0,12072000000.0,15357000000.0,16702000000.0,16429000000.0,15761000000.0,15305000000.0,14554000000.0,13115000000.0,15719000000.0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,32000000.0,36000000.0,41000000.0,48000000.0,56000000.0,62000000.0,66000000.0,67000000.0,65000000.0,77000000.0,80000000.0,92000000.0,139000000.0,190000000.0,332000000.0,469000000.0,503000000.0,716000000.0,617000000.0,532000000.0,674000000.0,841000000.0,867000000.0,685000000.0,724000000.0,855000000.0,866000000.0,732000000.0,791000000.0,767000000.0,918000000.0,834000000.0,700000000.0,845000000.0,756000000.0,882000000.0,957000000.0,1104000000.0,1103000000.0,841000000.0,950000000.0,1002000000.0,1135000000.0,1206000000.0,1347000000.0,1471000000.0,1725000000.0,2157000000.0,2563000000.0,2501000000.0,2983000000.0,3665000000.0,3629000000.0,3754000000.0,4055000000.0,3171000000.0,2635000000.0,2886000000.0,3082000000.0,3157000000.0,2876000000.0,2912000000.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,363000000.0,400000000.0,333000000.0,365000000.0,340000000.0,448000000.0,352000000.0,307000000.0,308000000.0,347000000.0,411000000.0,430000000.0,291000000.0,452000000.0,821000000.0,791000000.0,862000000.0,1038000000.0,1006000000.0,852000000.0,1129000000.0,1106000000.0,705000000.0,1248000000.0,608000000.0,866000000.0,1046000000.0,1156000000.0,905000000.0,1273000000.0,1205000000.0,1055000000.0,2169000000.0,2575000000.0,2108000000.0,1906000000.0,2108000000.0,2326000000.0,2563000000.0,3480000000.0,2973000000.0,3154000000.0,2720000000.0,3210000000.0,4074000000.0,5347000000.0,6754000000.0,8061000000.0,10269000000.0,8046000000.0,10922000000.0,15838000000.0,17763000000.0,17600000000.0,14600000000.0,13465000000.0,12920000000.0,12647000000.0,13134000000.0,13411000000.0,12429000000.0,15804000000.0
Guinea,GIN,Sub-Saharan Africa,Low income,50000000.0,73000000.0,66000000.0,46000000.0,49000000.0,53000000.0,70000000.0,53000000.0,50000000.0,65000000.0,78000000.0,80000000.0,107000000.0,185000000.0,160000000.0,216000000.0,283000000.0,247000000.0,272000000.0,253000000.0,360000000.0,351000000.0,296000000.0,267000000.0,438000000.0,448000000.0,451000000.0,468000000.0,605000000.0,589000000.0,723000000.0,735000000.0,740000000.0,730000000.0,706000000.0,819000000.0,648000000.0,620000000.0,537000000.0,556000000.0,612000000.0,601000000.0,667000000.0,640000000.0,780000000.0,820000000.0,956000000.0,1218000000.0,1366000000.0,1060000000.0,1405000000.0,2106000000.0,2254000000.0,1869000000.0,2372000000.0,2192000000.0,4429000000.0,3484000000.0,3386000000.0,3470000000.0,3727000000.0,4086000000.0
Gambia,GMB,Sub-Saharan Africa,Low income,9000000.0,13000000.0,13000000.0,12000000.0,12000000.0,16000000.0,18000000.0,19000000.0,21000000.0,20000000.0,18000000.0,21000000.0,25000000.0,31000000.0,47000000.0,60000000.0,74000000.0,78000000.0,100000000.0,141000000.0,165000000.0,126000000.0,103000000.0,115000000.0,100000000.0,93000000.0,104000000.0,127000000.0,138000000.0,161000000.0,188000000.0,204000000.0,218000000.0,261000000.0,212000000.0,182000000.0,258000000.0,278000000.0,228000000.0,192000000.0,187000000.0,134000000.0,161000000.0,156000000.0,229000000.0,260000000.0,259000000.0,321000000.0,322000000.0,304000000.0,285000000.0,341000000.0,380000000.0,350000000.0,387000000.0,420000000.0,336000000.0,548000000.0,677000000.0,621000000.0,679000000.0,691000000.0
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,11000000.0,10000000.0,12000000.0,14000000.0,15000000.0,15000000.0,15000000.0,16000000.0,18000000.0,23000000.0,27000000.0,31000000.0,32000000.0,44000000.0,43000000.0,38000000.0,37000000.0,37000000.0,49000000.0,61000000.0,55000000.0,50000000.0,50000000.0,55000000.0,48000000.0,60000000.0,60000000.0,70000000.0,66000000.0,69000000.0,86000000.0,76000000.0,96000000.0,61000000.0,164000000.0,133000000.0,87000000.0,89000000.0,63000000.0,51000000.0,59000000.0,62000000.0,59000000.0,65000000.0,83000000.0,106000000.0,127000000.0,168000000.0,199000000.0,202000000.0,196000000.0,240000000.0,182000000.0,183000000.0,214000000.0,207000000.0,230000000.0,291000000.0,284000000.0,335000000.0,307000000.0,378000000.0
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,16000000.0,19000000.0,24000000.0,18000000.0,23000000.0,26000000.0,28000000.0,32000000.0,32000000.0,33000000.0,24000000.0,28000000.0,27000000.0,27000000.0,15000000.0,20000000.0,4000000.0,10000000.0,9000000.0,19000000.0,26000000.0,27000000.0,31000000.0,19000000.0,18000000.0,20000000.0,52000000.0,58000000.0,61000000.0,51000000.0,61000000.0,67000000.0,56000000.0,59000000.0,37000000.0,121000000.0,292000000.0,358000000.0,317000000.0,425000000.0,451000000.0,813000000.0,507000000.0,908000000.0,1092000000.0,1310000000.0,2020000000.0,2767000000.0,3787000000.0,5597000000.0,5485000000.0,6972000000.0,7505000000.0,6104000000.0,5946000000.0,3525000000.0,2323000000.0,2842000000.0,3087000000.0,2283000000.0,1598000000.0,1928000000.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,196000000.0,193000000.0,195000000.0,232000000.0,246000000.0,282000000.0,346000000.0,337000000.0,356000000.0,361000000.0,442000000.0,560000000.0,535000000.0,619000000.0,1026000000.0,945000000.0,969000000.0,1289000000.0,1711000000.0,1636000000.0,2125000000.0,1939000000.0,1644000000.0,1334000000.0,1469000000.0,1436000000.0,1613000000.0,1738000000.0,1988000000.0,2174000000.0,2223000000.0,1935000000.0,1841000000.0,1774000000.0,2091000000.0,2991000000.0,2949000000.0,3279000000.0,3197000000.0,2832000000.0,3105000000.0,3192000000.0,3245000000.0,3725000000.0,4553000000.0,5846000000.0,7233000000.0,8989000000.0,11128000000.0,10202000000.0,12093000000.0,14782000000.0,16290000000.0,16358000000.0,18396000000.0,16093000000.0,14107000000.0,16687000000.0,17378000000.0,17655000000.0,15435000000.0,19559000000.0
Liberia,LBR,Sub-Saharan Africa,Low income,69000000.0,91000000.0,132000000.0,108000000.0,111000000.0,105000000.0,114000000.0,125000000.0,108000000.0,115000000.0,150000000.0,157000000.0,179000000.0,193000000.0,288000000.0,331000000.0,399000000.0,464000000.0,481000000.0,507000000.0,535000000.0,447000000.0,428000000.0,412000000.0,363000000.0,284000000.0,259000000.0,308000000.0,272000000.0,625000000.0,570000000.0,420000000.0,375000000.0,410000000.0,405000000.0,510000000.0,555000000.0,610000000.0,470000000.0,520000000.0,668000000.0,229000000.0,178000000.0,170000000.0,337000000.0,310000000.0,467000000.0,499000000.0,813000000.0,551000000.0,710000000.0,1044000000.0,1005000000.0,1150000000.0,1997000000.0,1687000000.0,1302000000.0,1089000000.0,1143000000.0,869000000.0,1102000000.0,1091000000.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,17000000.0,20000000.0,20000000.0,22000000.0,24000000.0,25000000.0,32000000.0,33000000.0,33000000.0,33000000.0,32000000.0,39000000.0,56000000.0,88000000.0,120000000.0,164000000.0,212000000.0,234000000.0,281000000.0,328000000.0,464000000.0,516000000.0,524000000.0,485000000.0,441000000.0,343000000.0,354000000.0,469000000.0,587000000.0,617000000.0,672000000.0,813000000.0,899000000.0,870000000.0,879000000.0,1107000000.0,1126000000.0,1140000000.0,941000000.0,866000000.0,809000000.0,743000000.0,815000000.0,1121000000.0,1440000000.0,1410000000.0,1500000000.0,1738000000.0,1800000000.0,1850000000.0,2300000000.0,2500000000.0,2602000000.0,2175000000.0,2207000000.0,1997000000.0,1861000000.0,2066000000.0,2185000000.0,2016000000.0,1811000000.0,2098000000.0
Madagascar,MDG,Sub-Saharan Africa,Low income,112000000.0,103000000.0,122000000.0,128000000.0,136000000.0,138000000.0,146000000.0,145000000.0,170000000.0,182000000.0,170000000.0,214000000.0,205000000.0,203000000.0,281000000.0,366000000.0,285000000.0,347000000.0,443000000.0,641000000.0,600000000.0,545000000.0,417000000.0,387000000.0,366000000.0,402000000.0,353000000.0,302000000.0,360000000.0,342000000.0,651000000.0,446000000.0,471000000.0,514000000.0,546000000.0,628000000.0,629000000.0,694000000.0,693000000.0,742000000.0,1097000000.0,1118000000.0,627000000.0,1304000000.0,1680000000.0,1706000000.0,1804000000.0,2635000000.0,3781000000.0,3199000000.0,2584000000.0,2905000000.0,3094000000.0,3260000000.0,3227000000.0,2795000000.0,2966000000.0,3670000000.0,4061000000.0,3942000000.0,3221000000.0,4374000000.0
Mali,MLI,Sub-Saharan Africa,Low income,33000000.0,36000000.0,46000000.0,34000000.0,37000000.0,43000000.0,36000000.0,34000000.0,34000000.0,39000000.0,47000000.0,63000000.0,70000000.0,110000000.0,180000000.0,176000000.0,155000000.0,159000000.0,286000000.0,361000000.0,439000000.0,365000000.0,332000000.0,353000000.0,279000000.0,299000000.0,444000000.0,374000000.0,504000000.0,502000000.0,602000000.0,671000000.0,608000000.0,634000000.0,589000000.0,772000000.0,772000000.0,739000000.0,761000000.0,824000000.0,806000000.0,990000000.0,928000000.0,1271000000.0,1364000000.0,1544000000.0,1820000000.0,2185000000.0,3339000000.0,2486000000.0,3428000000.0,3352000000.0,3524000000.0,3807000000.0,3909000000.0,3800000000.0,4051000000.0,4286000000.0,4722000000.0,5134000000.0,5107000000.0,6530000000.0
Mozambique,MOZ,Sub-Saharan Africa,Low income,127000000.0,129000000.0,136000000.0,142000000.0,156000000.0,173000000.0,208000000.0,199000000.0,234000000.0,261000000.0,324000000.0,341000000.0,330000000.0,466000000.0,462000000.0,411000000.0,300000000.0,321000000.0,523000000.0,568000000.0,800000000.0,801000000.0,836000000.0,636000000.0,540000000.0,424000000.0,543000000.0,642000000.0,736000000.0,808000000.0,878000000.0,899000000.0,855000000.0,955000000.0,1019000000.0,704000000.0,759000000.0,739000000.0,790000000.0,1139000000.0,1158000000.0,1063000000.0,1543000000.0,1753000000.0,2035000000.0,2408000000.0,2869000000.0,3050000000.0,4008000000.0,3764000000.0,4600000000.0,6312000000.0,8688000000.0,10099000000.0,8747000000.0,8334000000.0,5206000000.0,5745000000.0,6944000000.0,7428000000.0,6471000000.0,8621000000.0
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,24000000.0,31000000.0,36000000.0,30000000.0,16000000.0,24000000.0,23000000.0,37000000.0,35000000.0,42000000.0,56000000.0,57000000.0,69000000.0,128000000.0,120000000.0,161000000.0,179000000.0,207000000.0,181000000.0,259000000.0,286000000.0,265000000.0,276000000.0,227000000.0,208000000.0,234000000.0,221000000.0,235000000.0,240000000.0,222000000.0,388000000.0,425000000.0,407000000.0,445000000.0,362000000.0,431000000.0,450000000.0,433000000.0,399000000.0,385000000.0,454000000.0,465000000.0,431000000.0,542000000.0,923000000.0,1428000000.0,1167000000.0,1432000000.0,1941000000.0,1498000000.0,1935000000.0,2467000000.0,3129000000.0,3978000000.0,3642000000.0,3703000000.0,2174000000.0,3522000000.0,3183000000.0,3520000000.0,2744000000.0,3557000000.0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,70000000.0,68000000.0,68000000.0,70000000.0,82000000.0,77000000.0,70000000.0,77000000.0,76000000.0,68000000.0,76000000.0,84000000.0,119000000.0,168000000.0,309000000.0,332000000.0,360000000.0,447000000.0,500000000.0,574000000.0,609000000.0,563000000.0,464000000.0,441000000.0,471000000.0,523000000.0,676000000.0,993000000.0,1261000000.0,1325000000.0,1618000000.0,1558000000.0,1625000000.0,1715000000.0,1930000000.0,1976000000.0,2289000000.0,2189000000.0,2073000000.0,2247000000.0,2093000000.0,1987000000.0,2159000000.0,2363000000.0,2771000000.0,3157000000.0,3627000000.0,3894000000.0,4651000000.0,3733000000.0,4386000000.0,5149000000.0,5354000000.0,5397000000.0,5610000000.0,4790000000.0,4655000000.0,5254000000.0,5661000000.0,5596000000.0,4220000000.0,5142000000.0
Malawi,MWI,Sub-Saharan Africa,Low income,40000000.0,40000000.0,40000000.0,40000000.0,57000000.0,76000000.0,70000000.0,70000000.0,74000000.0,86000000.0,109000000.0,108000000.0,129000000.0,140000000.0,188000000.0,253000000.0,206000000.0,235000000.0,338000000.0,399000000.0,439000000.0,359000000.0,304000000.0,311000000.0,271000000.0,285000000.0,260000000.0,295000000.0,406000000.0,503000000.0,575000000.0,703000000.0,735000000.0,546000000.0,497000000.0,475000000.0,624000000.0,781000000.0,515000000.0,673000000.0,532000000.0,563000000.0,695000000.0,786000000.0,933000000.0,1165000000.0,1207000000.0,1378000000.0,2204000000.0,2022000000.0,2173000000.0,2428000000.0,2360000000.0,2845000000.0,2778000000.0,2312000000.0,2210000000.0,2547000000.0,2706000000.0,2941000000.0,2820000000.0,3073000000.0
Namibia,NAM,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,1156000000.0,1244000000.0,1040000000.0,921000000.0,818000000.0,581000000.0,886000000.0,1211000000.0,1272000000.0,1259000000.0,1163000000.0,1149000000.0,1283000000.0,1326000000.0,1412000000.0,1616000000.0,1670000000.0,1753000000.0,1648000000.0,1610000000.0,1550000000.0,1547000000.0,1470000000.0,1980000000.0,2396000000.0,2577000000.0,2884000000.0,3520000000.0,4340000000.0,4980000000.0,5570000000.0,6593000000.0,7256000000.0,7621000000.0,8523000000.0,7697000000.0,6673000000.0,6778000000.0,8289000000.0,8086000000.0,6823000000.0,8146000000.0
Niger,NER,Sub-Saharan Africa,Low income,13000000.0,19000000.0,27000000.0,23000000.0,34000000.0,38000000.0,45000000.0,46000000.0,41000000.0,48000000.0,58000000.0,54000000.0,66000000.0,86000000.0,97000000.0,101000000.0,126000000.0,197000000.0,305000000.0,461000000.0,594000000.0,510000000.0,466000000.0,324000000.0,288000000.0,369000000.0,368000000.0,311000000.0,387000000.0,363000000.0,388000000.0,355000000.0,479000000.0,375000000.0,328000000.0,374000000.0,448000000.0,374000000.0,471000000.0,410000000.0,395000000.0,412000000.0,468000000.0,622000000.0,750000000.0,943000000.0,949000000.0,1149000000.0,1696000000.0,2200000000.0,2476000000.0,2190000000.0,1900000000.0,2018000000.0,2190000000.0,1976000000.0,1715000000.0,1952000000.0,2281000000.0,2326000000.0,2468000000.0,2684000000.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,604000000.0,623000000.0,569000000.0,579000000.0,711000000.0,770000000.0,718000000.0,626000000.0,540000000.0,696000000.0,1059000000.0,1514000000.0,1505000000.0,1862000000.0,2772000000.0,6041000000.0,8213000000.0,11095000000.0,12821000000.0,10218000000.0,16660000000.0,20877000000.0,16061000000.0,12254000000.0,9364000000.0,8877000000.0,4034000000.0,3912000000.0,4717000000.0,4187000000.0,5627000000.0,8986000000.0,8275000000.0,7508000000.0,6613000000.0,8222000000.0,6438000000.0,9501000000.0,9211000000.0,8588000000.0,8721000000.0,11586000000.0,7547000000.0,10853000000.0,14164000000.0,20754000000.0,26523000000.0,34830000000.0,49951000000.0,33906000000.0,44235000000.0,56000000000.0,51000000000.0,56000000000.0,58300000000.0,44700000000.0,35532000000.0,31273000000.0,43007000000.0,55257000000.0,55390000000.0,74701000000.0
