Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4054184,,,,,,,,,,,,,66.03011322,,,,,,,
Burundi,BDI,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,22.50855064,,,,,,,,,,,37.38471985,,,,,,,,,,59.30361938,,,,,,,,48.08406067,,,,,,61.51348877,,,68.37532806,,,,
Benin,BEN,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,16.48273087,,,,,,,,,,,,,27.24517059,,,,,,,,,,34.65784836,,,,28.70211029,,,,,,32.94881821,,,,,,42.36240005,,,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,8.830229759,,,,,,,,,,,,,,,,13.56923008,,,,,12.84817028,,,,,,,21.82291985,,23.52219963,22.47257996,28.29365921,,,,,,,34.59939957,,,,39.3458519,,,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.58090973,,,,,,,,,,,,81.18871307,,,,,,,,,,86.82318115,,,,,,,,
Central African Republic,CAF,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,18.23616982,,,,,,,,,,,,,33.62442017,,,,,,,,,,,,50.6451683,,,,,,,,,,36.75260925,,,,,,,,37.39582062,,,
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.13927841,,,,,,,,,,36.3502388,,48.7407608,,,,,,,,,,,,40.98162842,,43.90842056,,,,,89.89341736,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,41.21620941,,,,,,,,,,,,,,,,,,,,,,,,68.4091568,,,,,,,70.67993927,,,71.29051208,,,,,,,,77.07103729,,,
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.17298889,,,,,,61.20555115,,,,,75.01718903,,,,77.04267883,,,,,
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,59.61912155,,,,,,,,,,,,,,,,,,,,,76.11479187,,,,,,79.31117249,,,,,,,80.29875946,,,
Comoros,COM,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,47.91923141,,,,,,,,,,,,,,,,,,,,68.48922729,,,,,,,,,,,,49.19614029,,,,,,58.81702042,,,
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.79685974,,,,,,,,,,76.11044312,,,,,,,,,,,,85.32778931,,,86.79029083,,,,,,
Eritrea,ERI,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51395035,,,,,,64.6629715,,,,,,,,,,76.57051849,,,
Ethiopia,ETH,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01135063,,,,,,,,,,35.90000153,29.8203392,,38.99597931,,,,,,,,,,51.7711792,,,,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2336731,,,,,,,,,,,,,,,,,,,82.28379822,,,,,,84.66716003,,,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.89746857,,,,,,,,,,71.49707031,,,,,,,,79.03964233,,,
Guinea,GIN,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55374908,,,,,,,29.70401955,,,,,,,25.30773926,,,,32.0038414,,,,39.6176796,,,
Gambia,GMB,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.81772995,,,,,,,,,,,,,41.95005035,,50.77796936,,,,,,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,19.95825005,,,,,,,,,,,,,,,,,,,,,41.35776901,,,,,,,,,,,,,,45.5811615,,,,,,,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3082962,,,,,,,,,,94.3705368,,,,,,,,,,,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2290802,,,,,,,72.1570282,,,,,,,78.73303986,,,,81.53497314,,,
Liberia,LBR,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,32.10676956,,,,,,,,,,,,,,,,,,,,,,,42.94107819,,,,,,,,,,48.30136108,,,,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.25443268,,,,,,,,,75.80020142,,,,,76.6352005,,,,,,,
Madagascar,MDG,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.68617249,,,,,58.93593979,,,,64.48091125,,,71.57261658,,,,,,76.67967987,,,
Mali,MLI,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,9.433810234,,,,,,,,,,,,,,,,,,,,,,19.04496956,,,,,24.0,,,26.17654991,,,,31.09975052,30.61866951,,,,33.06888962,,,35.47377014,,30.76140976,
Mozambique,MOZ,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,26.99770927,,,,,,,,,,,,,,,,,38.70787811,,,,,,48.15884018,,,,,,50.5838089,,,,,,56.03900146,,60.65542984,,,,
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.20767975,,,,,,,45.50378036,,,,,,62.06874847,,,,53.49758911,,,,
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.86865997,,,,,,,,,,84.30309296,,,,,,,,,,,89.24983978,91.76600647,91.49002838,92.47476196,92.70760345,93.15783691,,,,,
Malawi,MWI,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.53665161,,,,,,,,,,,64.13424683,,,,,,,,,,,,61.30971909,,,,65.14537048,62.14353943,,,,,,
Namibia,NAM,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.81658173,,,,,,,,,,84.94425964,,,,,,76.48658752,,,,88.27462769,,,,,,,91.52726746,,,
Niger,NER,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.37604046,,,,28.6724205,,,,,,,30.56039047,,,,,,35.04999924,,,
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.44675064,,,,,,,,,,,,54.7731781,,,70.198349,,51.07765961,,,,,,,,,,62.01601028,,,
Rwanda,RWA,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,38.24343109,,,,,,,,,,,,,57.85348892,,,,,,,,,64.88860321,,,,,,,,,,65.85227203,,68.3310318,,70.80413055,,,,73.21559143,,,
Sudan,SDN,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.34587097,,,,,,,,53.51737976,,,,,,,,,,60.6971817,,,
Senegal,SEN,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.86885071,,,,,,,,,,,,,,39.27524948,,,,41.89115143,,,48.03678131,,51.81454849,,43.53450012,,,,51.90042114,,,,
Sierra Leone,SLE,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.82678986,,,,,,,,,32.42617035,,,,,43.20632935,,,
Somalia,SOM,Sub-Saharan Africa,Low income,,,,,,,,,,,,,5.404650211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,SSD,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.83127975,,,,,,,,,,34.52275848,,,
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,57.32426071,,,,,,,,,,73.24241638,,,,,,,,,,84.9085083,,,,,,,69.53639221,,,,90.14309692,,,,,,92.81664276,,,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,55.32503891,,,,,,,,,,67.23937988,,,,,,,,,,,,,,81.66069794,,,,,,,,,,83.09828949,,,,,,,,88.41938019,,,
Seychelles,SYC,Sub-Saharan Africa,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.22921753,,,,,,,87.8111496,,,,,,,,91.8364563,,,,,,,,93.95423126,,,,,,,,95.8677063,,,
Chad,TCD,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89465046,,,,,,,25.65420914,,,,28.38142967,,,,,,,,,,,26.00299072,22.31155014,,,,,
Togo,TGO,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.17760086,,,,,,56.88837051,,,57.09337997,,60.40993881,,,,63.74562073,,,,66.53707886,,
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.11380005,,,,,,,,,,,,,,69.43090057,,,,,,,,67.80069733,,78.10059357,,,77.88722992,,,,,,
Uganda,UGA,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.10737991,,,,,,,,,,,68.14250946,,,,71.37313843,,,,73.21188354,,70.1982193,,,,,,76.52749634,,,
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,76.20049286,,,,,,,,,,,,,,,,82.40209961,,,,,,,,,,,88.71724701,,92.89485931,92.87731934,93.10214233,93.7294693,,94.13990021,94.36791992,,87.04666901,,95.02297211,,
Zambia,ZMB,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.99828339,,,,,,,,,68.00179291,,,69.14922333,,,,,61.12709045,,,83.00766754,,,,,,,,86.74796295,,,
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,77.79416656,,,,,,,,,,83.51258087,,,,,,,,,,,,,,,,,,,83.58271027,,,88.69342041,,,,,,,
