Country Name,Country Code,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Angola,AGO,Sub-Saharan Africa,Lower middle income,4885715.0,4934165.0,4980123.0,5019234.0,5043469.0,5049021.0,5031759.0,4998298.0,4967822.0,4965858.0,5009339.0,5096873.0,5220698.0,5372603.0,5530872.0,5680444.0,5817007.0,5945083.0,6067299.0,6189275.0,6314523.0,6442600.0,6570406.0,6696843.0,6820227.0,6939724.0,7054522.0,7164147.0,7266950.0,7361875.0,7447421.0,7523275.0,7589480.0,7647462.0,7697139.0,7785747.0,7870571.0,7952573.0,8031535.0,8108447.0,8183474.0,8256988.0,8328556.0,8400211.0,8473614.0,8550786.0,8712013.0,8879761.0,9050985.0,9223198.0,9393182.0,9560379.0,9724802.0,9885478.0,10040929.0,10192856.0,10340318.0,10483874.0,10625063.0,10764271.0,10903384.0,11041997.0
Burundi,BDI,Sub-Saharan Africa,Low income,2739812.0,2792109.0,2844696.0,2899406.0,2958715.0,3023393.0,3094563.0,3171852.0,3249803.0,3320846.0,3380090.0,3425159.0,3458960.0,3488458.0,3523288.0,3570423.0,3632177.0,3706512.0,3791096.0,3881978.0,3976911.0,4074399.0,4175019.0,4279413.0,4388516.0,4502791.0,4622030.0,4744618.0,4867368.0,4986151.0,5097882.0,5205707.0,5308218.0,5402453.0,5485211.0,5555318.0,5610935.0,5655746.0,5701234.0,5763505.0,5852869.0,5973420.0,6122066.0,6293693.0,6479923.0,6674402.0,6876203.0,7086696.0,7303905.0,7526320.0,7752348.0,7980596.0,8210996.0,8444885.0,8685036.0,8932905.0,9188748.0,9451330.0,9719004.0,9989400.0,10260793.0,10532561.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,2206085.0,2222829.0,2240844.0,2260148.0,2280792.0,2302816.0,2326102.0,2350478.0,2375558.0,2400937.0,2426240.0,2451299.0,2475999.0,2500628.0,2525228.0,2549965.0,2574676.0,2599358.0,2623498.0,2653243.0,2700926.0,2750109.0,2800776.0,2852844.0,2906198.0,2960895.0,3016336.0,3072821.0,3131506.0,3194227.0,3261657.0,3334453.0,3421579.0,3526417.0,3631555.0,3734789.0,3835064.0,3933251.0,4031046.0,4130744.0,4234023.0,4341573.0,4447568.0,4547229.0,4646979.0,4745990.0,4843941.0,4941148.0,5038210.0,5136054.0,5235019.0,5335151.0,5436221.0,5538343.0,5640685.0,5743276.0,5846022.0,5948778.0,6051235.0,6153002.0,6253752.0,6353512.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,4602312.0,4659836.0,4717619.0,4776772.0,4839103.0,4905884.0,4977615.0,5053914.0,5134087.0,5216825.0,5301403.0,5387931.0,5476829.0,5568733.0,5664233.0,5763924.0,5855680.0,5941345.0,6030037.0,6123379.0,6222086.0,6326605.0,6435919.0,6548385.0,6661833.0,6774748.0,6913023.0,7076009.0,7243586.0,7416137.0,7593789.0,7776739.0,7964834.0,8158481.0,8357840.0,8563180.0,8774607.0,8972396.0,9157786.0,9345908.0,9536628.0,9730062.0,9925692.0,10124205.0,10325819.0,10531253.0,10739874.0,10974632.0,11232645.0,11495273.0,11761179.0,12029916.0,12301337.0,12574793.0,12849408.0,13124763.0,13400386.0,13676524.0,13952831.0,14229032.0,14505412.0,14781404.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,487349.0,496810.0,507362.0,518705.0,529692.0,538498.0,546579.0,554169.0,561655.0,569668.0,578539.0,588191.0,602421.0,618287.0,635298.0,653244.0,672156.0,691884.0,711851.0,731359.0,749902.0,767106.0,775207.0,779736.0,782460.0,783749.0,783407.0,780704.0,774443.0,763516.0,747181.0,725604.0,730272.0,737527.0,743804.0,749557.0,754920.0,759783.0,763882.0,766935.0,768768.0,769312.0,774417.0,779971.0,785874.0,792601.0,800457.0,789043.0,776905.0,763094.0,746913.0,728267.0,718575.0,710095.0,702444.0,696549.0,692623.0,690189.0,688708.0,687149.0,684864.0,681775.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,1199833.0,1209385.0,1219520.0,1230333.0,1241805.0,1254064.0,1267278.0,1281229.0,1293933.0,1304890.0,1313234.0,1318620.0,1321683.0,1323875.0,1326960.0,1332257.0,1346489.0,1368843.0,1394120.0,1422633.0,1454348.0,1489957.0,1528900.0,1568685.0,1606041.0,1638886.0,1665999.0,1688523.0,1709461.0,1736842.0,1773158.0,1816165.0,1864703.0,1917002.0,1970390.0,2022833.0,2073866.0,2123866.0,2173047.0,2221734.0,2270203.0,2318072.0,2364848.0,2410837.0,2456474.0,2501009.0,2545259.0,2588531.0,2627865.0,2659223.0,2680138.0,2689405.0,2688997.0,2683757.0,2680333.0,2683457.0,2694567.0,2712573.0,2736176.0,2763118.0,2791700.0,2821711.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2884165.0,2944785.0,3008686.0,3073186.0,3134701.0,3191266.0,3278762.0,3366047.0,3456660.0,3555367.0,3665174.0,3786919.0,3918887.0,4059092.0,4204044.0,4345754.0,4458465.0,4568418.0,4674771.0,4871802.0,5074938.0,5284331.0,5499155.0,5717782.0,5937921.0,6158213.0,6377416.0,6595861.0,6811283.0,7019257.0,7233032.0,7452552.0,7676182.0,7901801.0,8126572.0,8348038.0,8566339.0,8781238.0,8988540.0,9180091.0,9353651.0,9510500.0,9652591.0,9785561.0,9916657.0,10052033.0,10192921.0,10338863.0,10490743.0,10649401.0,10814702.0,10987260.0,11167477.0,11354524.0,11547142.0,11742211.0,11939712.0,12139071.0,12339324.0,12539649.0,12739124.0,12937045.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,4455413.0,4519322.0,4585789.0,4654686.0,4725763.0,4798965.0,4874169.0,4951484.0,5030894.0,5112567.0,5196244.0,5245763.0,5292734.0,5337312.0,5378934.0,5417515.0,5466402.0,5563183.0,5662505.0,5764624.0,5869369.0,5976561.0,6085572.0,6196274.0,6308449.0,6421952.0,6536263.0,6659587.0,6810167.0,6960373.0,7108457.0,7254223.0,7397578.0,7538486.0,7675952.0,7810063.0,7940451.0,8068033.0,8194074.0,8320392.0,8448584.0,8579470.0,8712388.0,8847674.0,8985203.0,9125434.0,9268015.0,9412716.0,9558953.0,9706165.0,9853498.0,10000782.0,10147706.0,10293983.0,10439096.0,10582588.0,10724119.0,10863853.0,11000846.0,11135127.0,11266065.0,11393898.0
Democratic Republic of Congo,COD,Sub-Saharan Africa,Low income,11847895.0,12115621.0,12391977.0,12679558.0,12981465.0,13299424.0,13634819.0,13986314.0,14349200.0,14717460.0,15086718.0,15454510.0,15822222.0,16196041.0,16583473.0,16989652.0,17418727.0,17867484.0,18326224.0,18780878.0,19223022.0,19651018.0,20072032.0,20496224.0,20937038.0,21361189.0,21807031.0,22275028.0,22783647.0,23357738.0,24009322.0,24752627.0,25571493.0,26415728.0,27215035.0,27923434.0,28523782.0,29039020.0,29511727.0,30004336.0,30561320.0,31194272.0,31890439.0,32641875.0,33433387.0,34251593.0,35094796.0,35966554.0,36865328.0,37787006.0,38729918.0,39689943.0,40665645.0,41654275.0,42652337.0,43657619.0,44667921.0,45680987.0,46691418.0,47694889.0,48687370.0,49667024.0
Republic of Congo,COG,Sub-Saharan Africa,Lower middle income,696476.0,706004.0,715907.0,726194.0,736837.0,747849.0,759173.0,770802.0,782736.0,795053.0,807694.0,820641.0,833849.0,847247.0,860065.0,871838.0,883321.0,894587.0,905588.0,916413.0,927067.0,937630.0,947959.0,957944.0,967344.0,981528.0,1000371.0,1019130.0,1037965.0,1057033.0,1076465.0,1096266.0,1116442.0,1137099.0,1158337.0,1180132.0,1202581.0,1224359.0,1246600.0,1269123.0,1291781.0,1314331.0,1336829.0,1360177.0,1385476.0,1413317.0,1444090.0,1477074.0,1510485.0,1542089.0,1570342.0,1594800.0,1616049.0,1635208.0,1653911.0,1673264.0,1693489.0,1714180.0,1735045.0,1755497.0,1775225.0,1794236.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,167134.0,168234.0,169221.0,170167.0,171152.0,172212.0,173411.0,176304.0,179360.0,182434.0,185447.0,188303.0,191108.0,194184.0,197937.0,202640.0,208445.0,215166.0,222395.0,229602.0,236368.0,242504.0,248167.0,253585.0,259071.0,264836.0,270893.0,277163.0,283629.0,290225.0,296890.0,303637.0,312348.0,321722.0,331242.0,340853.0,350554.0,360338.0,370209.0,380118.0,390064.0,400044.0,410071.0,420222.0,430585.0,441135.0,451886.0,462823.0,473953.0,485273.0,496767.0,508454.0,520292.0,532234.0,544194.0,556099.0,567905.0,579620.0,591240.0,602737.0,614108.0,625358.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,168117.0,170523.0,173946.0,178265.0,183293.0,188777.0,194831.0,201342.0,207615.0,212732.0,216091.0,217323.0,216733.0,215095.0,213396.0,212357.0,212159.0,212630.0,213732.0,215335.0,217093.0,216523.0,216166.0,215763.0,214935.0,213493.0,209329.0,204388.0,199023.0,193727.0,188848.0,190274.0,192208.0,194369.0,196358.0,197903.0,198937.0,199549.0,199772.0,199696.0,199381.0,199155.0,198683.0,197980.0,197049.0,195914.0,194570.0,193053.0,191406.0,189722.0,188087.0,187960.0,187844.0,187722.0,187564.0,187332.0,187046.0,186722.0,186337.0,185906.0,185411.0,184854.0
Eritrea,ERI,Sub-Saharan Africa,Low income,908853.0,928810.0,949795.0,971567.0,993869.0,1016537.0,1039438.0,1062647.0,1089068.0,1116390.0,1144745.0,1174189.0,1204683.0,1236199.0,1268676.0,1302038.0,1336153.0,1371071.0,1407083.0,1444628.0,1483983.0,1524511.0,1565801.0,1608107.0,1650812.0,1688181.0,1727187.0,1766568.0,1801115.0,1824206.0,1831651.0,1822377.0,1799437.0,1768183.0,1735815.0,1707967.0,1684844.0,1666414.0,1656969.0,1661614.0,1682929.0,1722741.0,1777902.0,1840344.0,1899406.0,1947592.0,1982894.0,2007172.0,2021436.0,2040896.0,2055236.0,2064300.0,,,,,,,,,,
Ethiopia,ETH,Sub-Saharan Africa,Low income,20726292.0,21163559.0,21625147.0,22107778.0,22605782.0,23115850.0,23630782.0,24151444.0,24718780.0,25323803.0,25974793.0,26687638.0,27449828.0,28211712.0,28904938.0,29486031.0,29933272.0,30276597.0,30587172.0,30965221.0,31483452.0,32166572.0,32994950.0,33939356.0,34951819.0,35996256.0,37064522.0,38169159.0,39322338.0,40543796.0,41843937.0,43226660.0,44678873.0,46169940.0,47661479.0,49159892.0,50636304.0,52086904.0,53525989.0,54979170.0,56463272.0,57985265.0,59538009.0,61121265.0,62729415.0,64359939.0,66010206.0,67672866.0,69226765.0,70820867.0,72461597.0,74153612.0,75887762.0,77667882.0,79458316.0,81245141.0,83021597.0,84790101.0,86546146.0,88290017.0,90022234.0,91738352.0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,413772.0,413081.0,411104.0,409281.0,407746.0,406551.0,405726.0,405108.0,404334.0,402982.0,400736.0,395909.0,390078.0,383528.0,376521.0,369284.0,361818.0,354139.0,346143.0,337830.0,329160.0,320219.0,318010.0,315739.0,313384.0,310976.0,308475.0,305855.0,301779.0,297510.0,292985.0,288227.0,283237.0,278048.0,275721.0,273440.0,270957.0,268327.0,265534.0,262570.0,259442.0,256218.0,252921.0,249694.0,246687.0,244014.0,241594.0,239410.0,237515.0,236045.0,234965.0,234298.0,233862.0,233384.0,232631.0,231425.0,229722.0,227625.0,225279.0,222885.0,220525.0,218243.0
